Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Jon Kitna\KitnJo00,CIN,29,QB,16,15,6-9-0,313,581,53.9,3216,12,2.1,22,3.8,49,5.5,4.2,10.3,201.0,61.1,25,185,5.00,3.76,4.1,3,3
2,Kerry Collins\CollKe00,NYG,29,QB,16,16,7-9-0,327,568,57.6,3764,19,3.3,16,2.8,76,6.6,6.0,11.5,235.3,77.1,36,206,5.89,5.33,6.0,3,4
3,Brad Johnson\JohnBr00,TAM,33,QB,16,16,9-7-0,340,559,60.8,3406,13,2.3,11,2.0,47,6.1,5.7,10.0,212.9,77.7,44,269,5.20,4.81,7.3,3,5
4,Aaron Brooks\BrooAa00,NOR,25,QB,16,16,7-9-0,312,558,55.9,3832,26,4.7,22,3.9,63,6.9,6.0,12.3,239.5,76.4,50,330,5.76,4.99,8.2,2,3
5,Rich Gannon*\GannRi00,OAK,36,QB,16,16,10-6-0,361,549,65.8,3828,27,4.9,9,1.6,49,7.0,7.2,10.6,239.3,95.5,27,155,6.38,6.61,4.7,1,2
6,Peyton Manning\MannPe00,IND,25,QB,16,16,6-10-0,343,547,62.7,4131,26,4.8,23,4.2,86,7.6,6.6,12.0,258.2,84.1,29,232,6.77,5.88,5.0,,
7,Kurt Warner*+\WarnKu00,STL,30,QB,16,16,14-2-0,375,546,68.7,4830,36,6.6,22,4.0,65,8.8,8.4,12.9,301.9,101.4,38,233,7.87,7.41,6.5,1,2
8,Chris Weinke\WeinCh00,CAR,29,QB,15,15,1-14-0,293,540,54.3,2931,11,2.0,19,3.5,48,5.4,4.3,10.0,195.4,62.0,26,177,4.87,3.74,4.6,,
9,Jake Plummer\PlumJa00,ARI,27,QB,16,16,7-9-0,304,525,57.9,3653,18,3.4,14,2.7,68,7.0,6.4,12.0,228.3,79.6,29,204,6.23,5.74,5.2,3,4
10,Trent Green\GreeTr00,KAN,31,QB,16,16,6-10-0,296,523,56.6,3783,17,3.3,24,4.6,67,7.2,5.8,12.8,236.4,71.1,39,198,6.38,5.06,6.9,2,3
