Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
58,Brooks Bollinger\BollBr00,MIN,27,,2,0,,13,18,72.2,146,0,0.0,1,5.6,50,8.1,5.6,11.2,73.0,72.9,21.0,6,42,4.33,2.46,25.0,,
59,Aaron Rodgers\RodgAa00,GNB,23,,2,0,,6,15,40.0,46,0,0.0,0,0.0,16,3.1,3.1,7.7,23.0,48.2,7.8,3,18,1.56,1.56,16.7,,
60,Marques Tuiasosopo\TuiaMa00,OAK,27,,2,0,,6,13,46.2,68,1,7.7,2,15.4,29,5.2,-0.2,11.3,34.0,48.4,86.5,0,0,5.23,-0.15,0.0,,
61,Brett Basanez\BasaBr00,CAR,23,,1,0,,6,11,54.5,56,0,0.0,1,9.1,18,5.1,1.0,9.3,56.0,30.9,48.2,0,0,5.09,1.00,0.0,,
62,Matt Cassel\CassMa00,NWE,24,,6,0,,5,8,62.5,32,0,0.0,0,0.0,10,4.0,4.0,6.4,5.3,70.8,8.4,3,15,1.55,1.55,27.3,,
63,Brodie Croyle\CroyBr00,KAN,23,,2,0,,3,7,42.9,23,0,0.0,2,28.6,11,3.3,-9.6,7.7,11.5,11.9,0.8,1,10,1.63,-9.63,12.5,,
64,Gus Frerotte\FrerGu00,STL,35,,1,0,,1,3,33.3,27,0,0.0,0,0.0,27,9.0,9.0,27.0,27.0,67.4,82.8,0,0,9.00,9.00,0.0,,
65,Antwaan Randle El\RandAn00,WAS,27,fb/WR,16,16,,2,3,66.7,88,1,33.3,0,0.0,48,29.3,36.0,44.0,5.5,149.3,100.0,0,0,29.33,36.00,0.0,,
66,Vinny Testaverde\TestVi00,NWE,43,,3,0,,2,3,66.7,29,1,33.3,0,0.0,23,9.7,16.3,14.5,9.7,137.5,99.9,0,0,9.67,16.33,0.0,,
67,LaDainian Tomlinson*+\TomlLa00,SDG,27,RB,16,16,,2,3,66.7,20,2,66.7,0,0.0,19,6.7,20.0,10.0,1.3,125.0,99.6,0,0,6.67,20.00,0.0,,
68,Anthony Wright\WrigAn00,CIN,30,,4,0,,3,3,100.0,31,0,0.0,0,0.0,22,10.3,10.3,10.3,7.8,109.7,17.0,0,0,10.33,10.33,0.0,,
69,Ronald Curry\CurrRo01,OAK,27,wr,16,4,,0,2,0.0,0,0,0.0,1,50.0,0,0.0,-22.5,,0.0,0.0,0.3,0,0,0.00,-22.50,0.0,,
70,Billy Volek\VoleBi00,SDG,30,,1,0,,1,2,50.0,4,0,0.0,0,0.0,4,2.0,2.0,4.0,4.0,56.2,1.4,1,6,-0.67,-0.67,33.3,,
71,David Akers\akersdav01,PHI,32,K,16,0,,1,1,100.0,11,0,0.0,0,0.0,11,11.0,11.0,11.0,0.7,112.5,0.0,0,0,11.00,11.00,0.0,,
72,Hank Baskett\BaskHa00,PHI,24,wr,16,5,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0.0,0,0,0.00,-45.00,0.0,,
73,Arnaz Battle\BattAr00,SFO,26,WR,16,15,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,3.4,0,0,0.00,0.00,0.0,,
74,Ronnie Brown\BrowRo05,MIA,25,RB,13,12,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.1,0,0,0.00,0.00,0.0,,
75,Isaac Bruce\BrucIs00,STL,34,WR,16,13,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,3.9,0,0,0.00,0.00,0.0,,
76,Reggie Bush\BushRe00,NOR,21,rb/wr,16,8,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0.0,0,0,0.00,-45.00,0.0,,
