Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Bill Kenney*\KennBi00,KAN,28,QB,16,16,6-10-0,346,603,57.4,4348,24,4.0,18,3.0,53,7.2,6.7,12.6,271.8,80.8,41,284,6.31,5.80,6.4,0,1
2,Danny White\WhitDa01,DAL,31,QB,16,16,12-4-0,334,533,62.7,3980,29,5.4,23,4.3,80,7.5,6.6,11.9,248.8,85.6,37,314,6.43,5.63,6.5,2,2
3,Richard Todd\ToddRi00,NYJ,30,QB,16,16,7-9-0,308,518,59.5,3478,18,3.5,26,5.0,64,6.7,5.2,11.3,217.4,70.3,42,314,5.65,4.20,7.5,0,1
4,Joe Montana*\MontJo01,SFO,27,QB,16,16,10-6-0,332,515,64.5,3910,26,5.0,12,2.3,77,7.6,7.6,11.8,244.4,94.6,33,224,6.73,6.69,6.0,2,1
5,Joe Ferguson\FergJo00,BUF,33,QB,16,16,8-8-0,281,508,55.3,2995,26,5.1,25,4.9,43,5.9,4.7,10.7,187.2,69.3,27,266,5.10,3.97,5.0,3,3
6,Brian Sipe\SipeBr00,CLE,34,QB,15,14,8-6-0,291,496,58.7,3566,26,5.2,23,4.6,66,7.2,6.2,12.3,237.7,79.1,27,233,6.37,5.39,5.2,1,2
7,Lynn Dickey\DickLy00,GNB,34,QB,16,16,8-8-0,289,484,59.7,4458,32,6.6,29,6.0,75,9.2,7.8,15.4,278.6,87.3,40,307,7.92,6.65,7.6,3,4
8,Vince Ferragamo\FerrVi00,RAM,29,QB,16,16,9-7-0,274,464,59.1,3276,22,4.7,23,5.0,61,7.1,5.8,12.0,204.8,75.9,21,178,6.39,5.16,4.3,3,3
9,Joe Theismann*+\TheiJo00,WAS,34,QB,16,16,14-2-0,276,459,60.1,3714,29,6.3,11,2.4,84,8.1,8.3,13.5,232.1,97.0,34,242,7.04,7.22,6.9,2,4
10,Ron Jaworski\JawoRo00,PHI,32,QB,16,16,5-11-0,235,446,52.7,3315,20,4.5,18,4.0,83,7.4,6.5,14.1,207.2,75.1,53,385,5.87,5.05,10.6,2,3
11,Steve Dils\DilsSt00,MIN,28,QB,16,12,5-7-0,239,444,53.8,2840,11,2.5,16,3.6,68,6.4,5.3,11.9,177.5,66.8,37,254,5.38,4.34,7.7,1,3
12,Steve Bartkowski\BartSt00,ATL,31,QB,14,14,6-8-0,274,432,63.4,3167,22,5.1,5,1.2,76,7.3,7.8,11.6,226.2,97.6,51,348,5.84,6.28,10.6,3,3
