Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Sonny Jurgensen*\JurgSo00,WAS,32,QB,14,14,7-7-0,254,436,58.3,3209,28,6.4,19,4.4,86,7.4,6.7,12.6,229.2,84.5,,,,,,2,3
2,John Brodie\BrodJo00,SFO,31,QB,14,13,5-6-2,232,427,54.3,2810,16,3.7,22,5.2,65,6.6,5.0,12.1,200.7,65.8,,,,,,2,1
3,Roman Gabriel\GabrRo00,RAM,26,QB,14,14,8-6-0,217,397,54.7,2540,10,2.5,16,4.0,84,6.4,5.1,11.7,181.4,65.9,,,,,,,
4,Frank Ryan*\RyanFr00,CLE,30,QB,14,14,9-5-0,200,382,52.4,2974,29,7.6,14,3.7,54,7.8,7.7,14.9,212.4,88.2,,,,,,1,1
5,Fran Tarkenton\TarkFr00,MIN,26,QB,14,12,4-7-1,192,358,53.6,2561,17,4.7,16,4.5,68,7.2,6.1,13.3,182.9,73.8,,,,,,2,1
6,Johnny Unitas*\UnitJo00,BAL,33,QB,14,13,9-4-0,195,348,56.0,2748,22,6.3,24,6.9,89,7.9,6.1,14.1,196.3,74.0,,,,,,1,1
7,Don Meredith*\MereDo00,DAL,28,QB,13,13,9-3-1,177,344,51.5,2805,24,7.0,12,3.5,95,8.2,8.0,15.8,215.8,87.7,,,,,,3,2
8,Rudy Bukich\BukiRu00,CHI,36,QB,14,14,5-7-2,147,309,47.6,1858,10,3.2,21,6.8,80,6.0,3.6,12.6,132.7,49.3,,,,,,2,1
9,Karl Sweetan\SweeKa00,DET,24,QB,10,8,2-5-1,157,309,50.8,1809,4,1.3,14,4.5,99,5.9,4.1,11.5,180.9,54.3,,,,,,1,0
10,Randy Johnson\JohnRa00,ATL,22,QB,14,11,3-8-0,129,295,43.7,1795,12,4.1,21,7.1,53,6.1,3.7,13.9,128.2,47.8,,,,,,,
11,Bart Starr*+\StarBa00,GNB,32,QB,14,13,11-2-0,156,251,62.2,2257,14,5.6,3,1.2,83,9.0,9.6,14.5,161.2,105.0,,,,,,1,1
12,Norm Snead\SneaNo00,PHI,27,QB,10,10,5-5-0,103,226,45.6,1275,8,3.5,11,4.9,48,5.6,4.2,12.4,127.5,55.1,,,,,,0,1
13,Charley Johnson\JohnCh02,STL,28,QB,9,9,7-1-1,103,205,50.2,1334,10,4.9,11,5.4,69,6.5,5.1,13.0,148.2,65.0,,,,,,4,4
14,Ron Smith\SmitRo03,PIT,24,QB,9,8,2-5-0,79,181,43.6,1249,8,4.4,12,6.6,84,6.9,4.8,15.8,138.8,54.3,,,,,,0,1
15,Gary Wood\WoodGa00,NYG,24,qb,14,6,0-6-0,81,170,47.6,1142,6,3.5,13,7.6,58,6.7,4.0,14.1,81.6,49.7,,,,,,,
