Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Dan Marino*+\MariDa00,MIA,23,QB,16,16,14-2-0,362,564,64.2,5084,48,8.5,17,3.0,80,9.0,9.4,14.0,317.8,108.9,13,120,8.60,8.94,2.3,2,3
2,Neil Lomax*\LomaNe00,STL,25,QB,16,16,9-7-0,345,560,61.6,4614,28,5.0,16,2.9,83,8.2,8.0,13.4,288.4,92.5,49,377,6.96,6.69,8.0,3,4
3,Phil Simms\SimmPh00,NYG,29,QB,16,16,9-7-0,286,533,53.7,4044,22,4.1,18,3.4,65,7.6,6.9,14.1,252.8,78.1,55,434,6.14,5.51,9.4,1,1
4,Steve DeBerg\DebeSt00,TAM,30,QB,16,13,5-8-0,308,509,60.5,3554,19,3.7,18,3.5,55,7.0,6.1,11.5,222.1,79.3,35,308,5.97,5.18,6.4,2,3
5,Dan Fouts\FoutDa00,SDG,33,QB,13,13,6-7-0,317,507,62.5,3740,19,3.7,17,3.4,61,7.4,6.6,11.8,287.7,83.4,29,228,6.55,5.83,5.4,1,1
6,Paul McDonald\McDoPa00,CLE,26,QB,16,16,5-11-0,271,493,55.0,3472,14,2.8,23,4.7,64,7.0,5.5,12.8,217.0,67.3,53,345,5.73,4.34,9.7,1,3
7,Dave Krieg*\KrieDa00,SEA,26,QB,16,16,12-4-0,276,480,57.5,3671,32,6.7,24,5.0,80,7.6,6.7,13.3,229.4,83.3,40,314,6.46,5.61,7.7,1,2
8,Joe Theismann\TheiJo00,WAS,35,QB,16,16,11-5-0,283,477,59.3,3391,24,5.0,13,2.7,80,7.1,6.9,12.0,211.9,86.6,48,341,5.81,5.61,9.1,3,3
9,Warren Moon\MoonWa00,HOU,28,QB,16,16,3-13-0,259,450,57.6,3338,12,2.7,14,3.1,76,7.4,6.6,12.9,208.6,76.9,47,371,5.97,5.19,9.5,1,2
10,Joe Montana*\MontJo01,SFO,28,QB,16,15,14-1-0,279,432,64.6,3630,28,6.5,10,2.3,80,8.4,8.7,13.0,226.9,102.9,22,138,7.69,7.93,4.8,2,2
