Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Drew Bledsoe\BledDr00,NWE,23,QB,15,15,6-9-0,323,636,50.8,3507,13,2.0,16,2.5,47,5.5,4.8,10.9,233.8,63.7,23,170,5.06,4.37,3.5,2,2
2,Warren Moon*\MoonWa00,MIN,39,QB,16,16,8-8-0,377,606,62.2,4228,33,5.4,14,2.3,85,7.0,7.0,11.2,264.3,91.5,38,277,6.14,6.18,5.9,0,3
3,Scott Mitchell\MitcSc00,DET,27,QB,16,16,10-6-0,346,583,59.3,4338,32,5.5,12,2.1,91,7.4,7.6,12.5,271.1,92.3,31,145,6.83,6.99,5.0,1,2
4,Brett Favre*+\FavrBr00,GNB,26,QB,16,16,11-5-0,359,570,63.0,4413,38,6.7,13,2.3,99,7.7,8.0,12.3,275.8,99.5,33,217,6.96,7.25,5.5,0,1
5,Jeff Blake*\BlakJe00,CIN,25,QB,16,16,7-9-0,326,567,57.5,3822,28,4.9,17,3.0,88,6.7,6.4,11.7,238.9,82.1,24,152,6.21,5.86,4.1,2,3
6,Jim Everett\EverJi00,NOR,32,QB,16,16,7-9-0,345,567,60.8,3970,26,4.6,14,2.5,70,7.0,6.8,11.5,248.1,87.0,27,210,6.33,6.14,4.5,0,2
7,Jeff George\GeorJe00,ATL,28,QB,16,16,9-7-0,336,557,60.3,4143,24,4.3,11,2.0,62,7.4,7.4,12.3,258.9,89.5,43,270,6.46,6.43,7.2,1,4
8,John Elway\ElwaJo00,DEN,35,QB,16,16,8-8-0,316,542,58.3,3970,26,4.8,14,2.6,62,7.3,7.1,12.6,248.1,86.4,22,180,6.72,6.52,3.9,1,3
9,Erik Kramer\KramEr00,CHI,31,QB,16,16,9-7-0,315,522,60.3,3838,29,5.6,10,1.9,76,7.4,7.6,12.2,239.9,93.5,15,95,6.97,7.21,2.8,1,2
10,Dave Krieg\KrieDa00,ARI,37,QB,16,16,4-12-0,304,521,58.3,3554,16,3.1,21,4.0,48,6.8,5.6,11.7,222.1,72.6,53,380,5.53,4.44,9.2,3,2
11,Steve Bono*\BonoSt00,KAN,33,QB,16,16,13-3-0,293,520,56.3,3121,21,4.0,10,1.9,60,6.0,5.9,10.7,195.1,79.5,21,158,5.48,5.42,3.9,3,1
12,Dan Marino*\MariDa00,MIA,34,QB,14,14,9-5-0,309,482,64.1,3668,24,5.0,15,3.1,67,7.6,7.2,11.9,262.0,90.8,22,153,6.97,6.59,4.4,2,3
13,Stan Humphries\HumpSt00,SDG,30,QB,15,15,9-6-0,282,478,59.0,3381,17,3.6,14,2.9,51,7.1,6.5,12.0,225.4,80.4,23,197,6.36,5.78,4.6,1,2
14,Jim Kelly\KellJi00,BUF,35,QB,15,15,10-5-0,255,458,55.7,3130,22,4.8,13,2.8,77,6.8,6.5,12.3,208.7,81.1,26,181,6.09,5.79,5.4,1,2
15,Dave Brown\BrowDa00,NYG,25,QB,16,16,5-11-0,254,456,55.7,2814,11,2.4,10,2.2,57,6.2,5.7,11.1,175.9,73.1,44,206,5.22,4.76,8.8,1,1
16,Steve Young*\YounSt00,SFO,34,QB,11,11,8-3-0,299,447,66.9,3200,20,4.5,11,2.5,57,7.2,6.9,10.7,290.9,92.3,25,115,6.54,6.33,5.3,,
17,Kerry Collins\CollKe00,CAR,23,QB,15,13,7-6-0,214,433,49.4,2717,14,3.2,19,4.4,89,6.3,4.9,12.7,181.1,61.9,24,150,5.62,4.36,5.3,1,3
18,Troy Aikman*\AikmTr00,DAL,29,QB,16,16,12-4-0,280,432,64.8,3304,16,3.7,7,1.6,50,7.6,7.7,11.8,206.5,93.6,14,89,7.21,7.22,3.1,2,2
19,Neil O'Donnell\ODonNe00,PIT,29,QB,12,12,9-3-0,246,416,59.1,2970,17,4.1,7,1.7,71,7.1,7.2,12.1,247.5,87.7,15,126,6.60,6.66,3.5,2,4
20,Trent Dilfer\DilfTr00,TAM,23,QB,16,16,7-9-0,224,415,54.0,2774,4,1.0,18,4.3,64,6.7,4.9,12.4,173.4,60.1,47,331,5.29,3.71,10.2,1,3
21,Chris Miller\MillCh00,STL,30,QB,13,13,7-6-0,232,405,57.3,2623,18,4.4,15,3.7,72,6.5,5.7,11.3,201.8,76.2,31,244,5.46,4.73,7.1,,
22,Gus Frerotte\FrerGu00,WAS,24,QB,16,11,3-8-0,199,396,50.3,2751,13,3.3,13,3.3,73,6.9,6.1,13.8,171.9,70.2,23,192,6.11,5.33,5.5,1,0
23,Vinny Testaverde\TestVi00,CLE,32,QB,13,12,4-8-0,241,392,61.5,2883,17,4.3,10,2.6,70,7.4,7.1,12.0,221.8,87.8,17,87,6.84,6.57,4.2,0,1
24,Rick Mirer\MireRi00,SEA,25,QB,15,13,7-6-0,209,391,53.5,2564,13,3.3,20,5.1,59,6.6,4.9,12.3,170.9,63.7,42,255,5.33,3.85,9.7,1,1
25,Boomer Esiason\EsiaBo00,NYJ,34,QB,12,12,2-10-0,221,389,56.8,2275,16,4.1,15,3.9,43,5.8,4.9,10.3,189.6,71.4,27,198,4.99,4.14,6.5,,
26,Rodney Peete\PeetRo00,PHI,29,QB,15,12,9-3-0,215,375,57.3,2326,8,2.1,14,3.7,37,6.2,4.9,10.8,155.1,67.3,33,166,5.29,4.14,8.1,3,4
27,Chris Chandler\ChanCh00,HOU,30,QB,13,13,5-8-0,225,356,63.2,2460,17,4.8,10,2.8,76,6.9,6.6,10.9,189.2,87.8,21,173,6.07,5.77,5.6,,
28,Mark Brunell\BrunMa00,JAX,25,QB,13,10,3-7-0,201,346,58.1,2168,15,4.3,7,2.0,45,6.3,6.2,10.8,166.8,82.6,39,238,5.01,4.97,10.1,2,2
29,Jim Harbaugh*\HarbJi00,IND,32,QB,15,12,7-5-0,200,314,63.7,2575,17,5.4,5,1.6,52,8.2,8.6,12.9,171.7,100.7,36,219,6.73,7.06,10.3,3,4
30,Jeff Hostetler\HostJe00,OAK,34,QB,11,11,7-4-0,172,286,60.1,1998,12,4.2,9,3.1,80,7.0,6.4,11.6,181.6,82.2,22,133,6.06,5.52,7.1,1,1
31,Mark Rypien\RypiMa00,STL,33,qb,11,3,0-3-0,129,217,59.4,1448,9,4.1,8,3.7,50,6.7,5.8,11.2,131.6,77.9,11,60,6.09,5.30,4.8,,
