Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Warren Moon*\MoonWa00,HOU,35,QB,16,16,11-5-0,404,655,61.7,4690,23,3.5,21,3.2,61,7.2,6.4,11.6,293.1,81.7,23,174,6.66,5.95,3.4,4,5
2,Dan Marino*\MariDa00,MIA,30,QB,16,16,8-8-0,318,549,57.9,3970,25,4.6,13,2.4,54,7.2,7.1,12.5,248.1,85.8,27,182,6.58,6.43,4.7,1,3
3,Bernie Kosar\KosaBe00,CLE,28,QB,16,16,6-10-0,307,494,62.1,3487,18,3.6,9,1.8,71,7.1,7.0,11.4,217.9,87.8,41,232,6.08,6.00,7.7,2,1
4,Jim Everett\EverJi00,RAM,28,QB,16,16,3-13-0,277,490,56.5,3438,11,2.2,20,4.1,78,7.0,5.6,12.4,214.9,68.9,30,200,6.23,4.92,5.8,,
5,Ken O'Brien*\OBriKe00,NYJ,31,QB,16,16,8-8-0,287,489,58.7,3300,10,2.0,11,2.2,53,6.7,6.1,11.5,206.3,76.6,33,273,5.80,5.23,6.3,2,5
6,John Friesz\FrieJo00,SDG,24,QB,16,16,4-12-0,262,487,53.8,2896,12,2.5,15,3.1,58,5.9,5.1,11.1,181.0,67.1,32,214,5.17,4.33,6.2,2,3
7,Jeff George\GeorJe00,IND,24,QB,16,16,1-15-0,292,485,60.2,2910,10,2.1,12,2.5,49,6.0,5.3,10.0,181.9,73.8,56,481,4.49,3.86,10.4,,
8,Jim Harbaugh\HarbJi00,CHI,28,QB,16,16,11-5-0,275,478,57.5,3121,15,3.1,16,3.3,84,6.5,5.7,11.3,195.1,73.7,24,163,5.89,5.06,4.8,3,3
9,Jim Kelly*+\KellJi00,BUF,31,QB,15,15,13-2-0,304,474,64.1,3844,33,7.0,17,3.6,77,8.1,7.9,12.6,256.3,97.6,31,227,7.16,6.95,6.1,3,4
10,John Elway*\ElwaJo00,DEN,31,QB,16,16,12-4-0,242,451,53.7,3253,13,2.9,12,2.7,71,7.2,6.6,13.4,203.3,75.4,45,305,5.94,5.38,9.1,1,4
11,Steve DeBerg\DebeSt00,KAN,37,QB,16,15,10-5-0,256,434,59.0,2965,17,3.9,14,3.2,63,6.8,6.2,11.6,185.3,79.3,19,161,6.19,5.55,4.2,1,1
12,Mark Rypien*\RypiMa00,WAS,29,QB,16,16,14-2-0,249,421,59.1,3564,28,6.7,11,2.6,82,8.5,8.6,14.3,222.8,97.9,7,59,8.19,8.34,1.6,2,5
13,Boomer Esiason\EsiaBo00,CIN,30,QB,14,14,3-11-0,233,413,56.4,2883,13,3.1,16,3.9,53,7.0,5.9,12.4,205.9,72.5,25,190,6.15,5.10,5.7,2,2
