Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Dan Marino*+\MariDa00,MIA,25,QB,16,16,8-8-0,378,623,60.7,4746,44,7.1,23,3.7,85,7.6,7.4,12.6,296.6,92.5,17,119,7.23,6.99,2.7,1,2
2,Jay Schroeder*\SchrJa00,WAS,25,QB,16,16,12-4-0,276,541,51.0,4109,22,4.1,22,4.1,71,7.6,6.6,14.9,256.8,72.9,28,240,6.80,5.83,4.9,4,5
3,Bernie Kosar\KosaBe00,CLE,23,QB,16,16,12-4-0,310,531,58.4,3854,17,3.2,10,1.9,72,7.3,7.1,12.4,240.9,83.8,39,274,6.28,6.09,6.8,4,6
4,John Elway*\ElwaJo00,DEN,26,QB,16,16,11-5-0,280,504,55.6,3485,19,3.8,13,2.6,53,6.9,6.5,12.4,217.8,79.0,32,233,6.07,5.68,6.0,1,1
5,Randy Wright\WrigRa00,GNB,25,QB,16,16,4-12-0,263,492,53.5,3247,17,3.5,23,4.7,62,6.6,5.2,12.3,202.9,66.2,33,243,5.72,4.40,6.3,0,0
6,Warren Moon\MoonWa00,HOU,30,QB,15,15,5-10-0,256,488,52.5,3489,13,2.7,26,5.3,81,7.1,5.3,13.6,232.6,62.3,41,332,5.97,4.25,7.8,,
7,Ken O'Brien\OBriKe00,NYJ,26,QB,15,14,8-6-0,300,482,62.2,3690,25,5.2,20,4.1,83,7.7,6.8,12.3,246.0,85.8,40,353,6.39,5.63,7.7,3,3
8,Jim Kelly\KellJi00,BUF,26,QB,16,16,4-12-0,285,480,59.4,3593,22,4.6,17,3.5,84,7.5,6.8,12.6,224.6,83.3,43,330,6.24,5.62,8.2,,
9,Boomer Esiason*\EsiaBo00,CIN,25,QB,16,16,10-6-0,273,469,58.2,3959,24,5.1,17,3.6,57,8.4,7.8,14.5,247.4,87.7,26,194,7.61,7.03,5.3,3,4
10,Phil Simms\SimmPh00,NYG,31,QB,16,16,14-2-0,259,468,55.3,3487,21,4.5,22,4.7,49,7.5,6.2,13.5,217.9,74.6,45,359,6.10,4.99,8.8,2,4
