Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Dan Fouts*\FoutDa00,SDG,30,QB,16,16,10-6-0,360,609,59.1,4802,33,5.4,17,2.8,67,7.9,7.7,13.3,300.1,90.6,19,134,7.43,7.27,3.0,3,3
2,Tommy Kramer\KramTo00,MIN,26,QB,14,14,7-7-0,322,593,54.3,3912,26,4.4,24,4.0,63,6.6,5.7,12.1,279.4,72.6,19,149,6.15,5.23,3.1,2,2
3,Brian Sipe\SipeBr00,CLE,32,QB,16,16,5-11-0,313,567,55.2,3876,17,3.0,25,4.4,62,6.8,5.5,12.4,242.3,68.2,34,310,5.93,4.63,5.7,2,2
4,Steve Bartkowski*\BartSt00,ATL,29,QB,16,16,7-9-0,297,533,55.7,3829,30,5.6,23,4.3,70,7.2,6.4,12.9,239.3,79.2,37,287,6.21,5.45,6.5,1,1
5,Joe Ferguson\FergJo00,BUF,31,QB,16,16,10-6-0,252,498,50.6,3652,24,4.8,20,4.0,67,7.3,6.5,14.5,228.3,74.1,15,137,6.85,6.03,2.9,2,2
6,Richard Todd\ToddRi00,NYJ,28,QB,16,16,10-5-1,279,497,56.1,3231,25,5.0,13,2.6,49,6.5,6.3,11.6,201.9,81.8,30,224,5.71,5.54,5.7,2,1
7,Joe Theismann\TheiJo00,WAS,32,QB,16,16,8-8-0,293,496,59.1,3568,19,3.8,20,4.0,79,7.2,6.1,12.2,223.0,77.3,28,259,6.31,5.32,5.3,2,2
8,Joe Montana*\MontJo01,SFO,25,QB,16,16,13-3-0,311,488,63.7,3565,19,3.9,12,2.5,78,7.3,7.0,11.5,222.8,88.4,26,193,6.56,6.25,5.1,2,2
9,Ken Anderson*+\AndeKe00,CIN,32,QB,16,16,12-4-0,300,479,62.6,3754,29,6.1,10,2.1,74,7.8,8.1,12.5,234.6,98.4,25,140,7.17,7.43,5.0,2,2
10,Doug Williams\WillDo01,TAM,26,QB,16,16,9-7-0,238,471,50.5,3563,19,4.0,14,3.0,84,7.6,7.0,15.0,222.7,76.8,18,135,7.01,6.50,3.7,2,3
11,Ron Jaworski\JawoRo00,PHI,30,QB,16,16,10-6-0,250,461,54.2,3095,23,5.0,20,4.3,85,6.7,5.8,12.4,193.4,73.8,21,197,6.01,5.10,4.4,0,1
12,Vince Evans\EvanVi00,CHI,26,QB,16,16,6-10-0,195,436,44.7,2354,11,2.5,20,4.6,85,5.4,3.8,12.1,147.1,51.1,23,173,4.75,3.27,5.0,0,2
13,Bert Jones\JoneBe00,BAL,30,QB,15,15,2-13-0,244,426,57.3,3094,21,4.9,20,4.7,67,7.3,6.1,12.7,206.3,76.9,31,263,6.19,5.14,6.8,,
14,Jim Zorn\ZornJi00,SEA,28,QB,13,13,4-9-0,236,397,59.4,2788,13,3.3,9,2.3,80,7.0,6.7,11.8,214.5,82.4,24,201,6.14,5.80,5.7,1,1
15,Danny White\WhitDa01,DAL,29,P/QB,16,15,11-4-0,223,391,57.0,3098,22,5.6,13,3.3,73,7.9,7.6,13.9,193.6,87.5,30,234,6.80,6.46,7.1,2,2
16,Craig Morton\MortCr00,DEN,38,QB,15,15,10-5-0,225,376,59.8,3195,21,5.6,14,3.7,95,8.5,7.9,14.2,213.0,90.5,54,394,6.51,6.03,12.6,2,2
17,Terry Bradshaw\BradTe00,PIT,33,QB,14,14,8-6-0,201,370,54.3,2887,22,5.9,14,3.8,90,7.8,7.3,14.4,206.2,83.9,17,155,7.06,6.57,4.4,0,2
18,Marc Wilson\WilsMa00,OAK,24,QB,13,9,5-4-0,173,366,47.3,2311,14,3.8,19,5.2,66,6.3,4.7,13.4,177.8,58.9,30,241,5.23,3.78,7.6,4,3
19,David Woodley\WoodDa00,MIA,23,QB,15,15,11-3-1,191,366,52.2,2470,12,3.3,13,3.6,69,6.7,5.8,12.9,164.7,69.8,24,191,5.84,4.96,6.2,1,2
20,Lynn Dickey\DickLy00,GNB,32,QB,13,13,6-7-0,204,354,57.6,2593,17,4.8,15,4.2,75,7.3,6.4,12.7,199.5,79.0,40,298,5.82,4.97,10.2,,
21,Phil Simms\SimmPh00,NYG,26,QB,10,10,5-5-0,172,316,54.4,2031,11,3.5,9,2.8,80,6.4,5.8,11.8,203.1,74.0,38,301,4.89,4.36,10.7,0,2
22,Ken Stabler\StabKe00,HOU,36,QB,13,12,5-7-0,165,285,57.9,1988,14,4.9,18,6.3,71,7.0,5.1,12.0,152.9,69.5,29,254,5.52,3.83,9.2,0,0
23,Eric Hipple\HippEr00,DET,24,QB,16,10,6-4-0,140,279,50.2,2358,14,5.0,15,5.4,94,8.5,7.0,16.8,147.4,73.4,27,208,7.03,5.74,8.8,2,2
24,Bill Kenney\KennBi00,KAN,26,QB,13,13,8-5-0,147,274,53.6,1983,9,3.3,16,5.8,64,7.2,5.3,13.5,152.5,63.6,20,160,6.20,4.36,6.8,1,0
25,Pat Haden\HadePa00,RAM,28,QB,13,11,5-6-0,138,267,51.7,1815,9,3.4,13,4.9,67,6.8,5.3,13.2,139.6,64.4,28,227,5.38,4.01,9.5,,
26,Jim Hart\HartJi00,STL,37,QB,10,9,3-6-0,134,241,55.6,1694,11,4.6,14,5.8,58,7.0,5.3,12.6,169.4,68.7,16,119,6.13,4.53,6.2,0,1
27,Neil Lomax\LomaNe00,STL,22,qb,14,7,4-3-0,119,236,50.4,1575,4,1.7,10,4.2,75,6.7,5.1,13.2,112.5,59.9,32,286,4.81,3.43,11.9,0,1
28,Archie Manning\MannAr00,NOR,32,QB,12,11,3-8-0,134,232,57.8,1447,5,2.2,11,4.7,55,6.2,4.5,10.8,120.6,63.6,21,164,5.07,3.51,8.3,,
29,Matt Cavanaugh\CavaMa00,NWE,25,QB,16,8,1-7-0,115,219,52.5,1633,5,2.3,13,5.9,65,7.5,5.2,14.2,102.1,59.8,24,165,6.04,4.05,9.9,,
