Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Dan Marino\MariDa00,MIA,36,QB,16,16,9-7-0,319,548,58.2,3780,16,2.9,11,2.0,55,6.9,6.6,11.8,236.3,80.7,20,132,6.42,6.11,3.5,1,3
2,Warren Moon*\MoonWa00,SEA,41,QB,15,14,7-7-0,313,528,59.3,3678,25,4.7,16,3.0,60,7.0,6.5,11.8,245.2,83.7,30,192,6.25,5.85,5.4,3,4
3,Drew Bledsoe*\BledDr00,NWE,25,QB,16,16,10-6-0,314,522,60.2,3706,28,5.4,15,2.9,76,7.1,6.9,11.8,231.6,87.7,30,258,6.25,6.04,5.4,0,1
4,Jeff George\GeorJe00,OAK,30,QB,16,16,4-12-0,290,521,55.7,3917,29,5.6,9,1.7,76,7.5,7.9,13.5,244.8,91.2,58,430,6.02,6.32,10.0,0,1
5,Troy Aikman\AikmTr00,DAL,31,QB,16,16,6-10-0,292,518,56.4,3283,19,3.7,12,2.3,64,6.3,6.0,11.2,205.2,78.0,33,269,5.47,5.18,6.0,3,3
6,Brett Favre*+\FavrBr00,GNB,28,QB,16,16,13-3-0,304,513,59.3,3867,35,6.8,16,3.1,74,7.5,7.5,12.7,241.7,92.6,25,176,6.86,6.82,4.6,,
7,Scott Mitchell\MitcSc00,DET,29,QB,16,16,9-7-0,293,509,57.6,3484,19,3.7,14,2.8,79,6.8,6.4,11.9,217.8,79.6,41,271,5.84,5.39,7.5,3,3
8,John Elway*\ElwaJo00,DEN,37,QB,16,16,12-4-0,280,502,55.8,3635,27,5.4,11,2.2,78,7.2,7.3,13.0,227.2,87.5,34,203,6.40,6.49,6.3,0,2
9,Tony Banks\BankTo00,STL,24,QB,16,16,5-11-0,252,487,51.7,3254,14,2.9,13,2.7,76,6.7,6.1,12.9,203.4,71.5,43,317,5.54,4.97,8.1,1,2
10,Erik Kramer\KramEr00,CHI,33,QB,15,13,4-9-0,275,477,57.7,3011,14,2.9,14,2.9,78,6.3,5.6,10.9,200.7,74.0,25,149,5.70,5.00,5.0,1,1
11,Vinny Testaverde\TestVi00,BAL,34,QB,13,13,4-8-1,271,470,57.7,2971,18,3.8,15,3.2,54,6.3,5.7,11.0,228.5,75.9,20,129,5.80,5.16,4.1,1,1
12,Neil O'Donnell\ODonNe00,NYJ,31,QB,15,14,8-6-0,259,460,56.3,2796,17,3.7,7,1.5,70,6.1,6.1,10.8,186.4,80.3,45,289,4.96,5.01,8.9,0,0
