Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
14,Kurt Warner\WarnKu00,ARI,36,QB,14,11,5-6-0,281,451,62.3,3417,27,6.0,17,3.8,62,7.6,7.1,12.2,244.1,89.8,75.8,20,140,6.96,6.48,4.2,1,1
15,Jason Campbell\CampJa00,WAS,26,QB,13,13,6-7-0,250,417,60.0,2700,12,2.9,11,2.6,54,6.5,5.9,10.8,207.7,77.6,62.6,21,110,5.91,5.33,4.8,1,2
16,Ben Roethlisberger*\RoetBe00,PIT,25,QB,15,15,10-5-0,264,404,65.3,3154,32,7.9,11,2.7,83,7.8,8.2,11.9,210.3,104.1,75.1,47,347,6.22,6.55,10.4,1,2
17,Vince Young\YounVi00,TEN,24,QB,15,15,9-6-0,238,382,62.3,2546,9,2.4,17,4.5,73,6.7,5.1,10.7,169.7,71.1,50.8,25,157,5.87,4.43,6.1,,
18,Marc Bulger\BulgMa00,STL,30,QB,12,12,2-10-0,221,378,58.5,2392,11,2.9,15,4.0,40,6.3,5.1,10.8,199.3,70.3,45.9,37,269,5.12,4.02,8.9,,
19,Joey Harrington\HarrJo00,ATL,29,QB,12,10,3-7-0,215,348,61.8,2215,7,2.0,8,2.3,69,6.4,5.7,10.3,184.6,77.2,47.1,32,192,5.32,4.74,8.4,0,1
20,Damon Huard\HuarDa00,KAN,34,QB,11,10,4-6-0,206,332,62.0,2257,11,3.3,13,3.9,58,6.8,5.7,11.0,205.2,76.8,39.4,36,234,5.50,4.51,9.8,2,3
21,Jeff Garcia*\GarcJe00,TAM,37,QB,13,13,8-5-0,209,327,63.9,2440,13,4.0,4,1.2,69,7.5,7.7,11.7,187.7,94.6,63.1,19,104,6.75,6.98,5.5,0,1
22,David Garrard\GarrDa00,JAX,29,QB,12,12,9-3-0,208,325,64.0,2509,18,5.5,3,0.9,59,7.7,8.4,12.1,209.1,102.2,83.4,21,99,6.97,7.62,6.1,1,2
23,Cleo Lemon\LemoCl00,MIA,28,qb,9,7,1-6-0,173,309,56.0,1773,6,1.9,6,1.9,64,5.7,5.3,10.2,197.0,71.0,52.3,25,166,4.81,4.36,7.5,1,1
24,Tarvaris Jackson\JackTa00,MIN,24,QB,12,12,8-4-0,171,294,58.2,1911,9,3.1,12,4.1,71,6.5,5.3,11.2,159.3,70.8,52.0,19,70,5.88,4.73,6.1,1,2
25,Matt Schaub\SchaMa00,HOU,26,QB,11,11,4-7-0,192,289,66.4,2241,9,3.1,9,3.1,77,7.8,7.0,11.7,203.7,87.2,67.2,16,126,6.93,6.20,5.2,1,1
26,Kyle Boller\BollKy00,BAL,26,QB,12,8,2-6-0,168,275,61.1,1743,9,3.3,10,3.6,53,6.3,5.4,10.4,145.3,75.2,53.8,24,159,5.30,4.39,8.0,0,1
27,Trent Edwards\EdwaTr01,BUF,24,QB,10,9,5-4-0,151,269,56.1,1630,7,2.6,8,3.0,70,6.1,5.2,10.8,163.0,70.4,38.6,12,105,5.43,4.64,4.3,1,2
28,Brian Griese\GrieBr00,CHI,32,qb,7,6,3-3-0,161,262,61.5,1803,10,3.8,12,4.6,81,6.9,5.6,11.2,257.6,75.6,44.4,15,114,6.10,4.87,5.4,2,2
29,Chad Pennington\PennCh01,NYJ,31,QB,9,8,1-7-0,179,260,68.8,1765,10,3.8,9,3.5,57,6.8,6.0,9.9,196.1,86.1,49.1,26,178,5.55,4.83,9.1,,
30,Kellen Clemens\ClemKe00,NYJ,24,QB,10,8,3-5-0,130,250,52.0,1529,5,2.0,10,4.0,56,6.1,4.7,11.8,152.9,60.9,33.5,27,138,5.02,3.76,9.7,1,2
31,Sage Rosenfels\RoseSa00,HOU,29,qb,9,5,4-1-0,154,240,64.2,1684,15,6.3,12,5.0,53,7.0,6.0,10.9,187.1,84.8,75.3,6,48,6.65,5.67,2.4,,
32,Rex Grossman\GrosRe00,CHI,27,qb,8,7,2-5-0,122,225,54.2,1411,4,1.8,7,3.1,59,6.3,5.2,11.6,176.4,66.4,25.7,25,198,4.85,3.91,10.0,2,2
33,Brodie Croyle\CroyBr00,KAN,24,qb,9,6,0-6-0,127,224,56.7,1227,6,2.7,6,2.7,35,5.5,4.8,9.7,136.3,69.9,36.1,17,101,4.67,4.05,7.1,,
34,Trent Dilfer\DilfTr00,SFO,35,qb,7,6,1-5-0,113,219,51.6,1166,7,3.2,12,5.5,57,5.3,3.5,10.3,166.6,55.1,20.2,27,182,4.00,2.37,11.0,1,0
35,Steve McNair\McNaSt00,BAL,34,qb,6,6,2-4-0,133,205,64.9,1113,2,1.0,4,2.0,30,5.4,4.7,8.4,185.5,73.9,38.1,11,85,4.76,4.11,5.1,,
36,Alex Smith\SmitAl03,SFO,23,qb,7,7,2-5-0,94,193,48.7,914,2,1.0,4,2.1,45,4.7,4.0,9.7,130.6,57.2,20.4,17,121,3.78,3.11,8.1,2,2
37,Josh McCown\McCoJo01,OAK,28,QB,9,9,2-7-0,111,190,58.4,1151,10,5.3,11,5.8,46,6.1,4.5,10.4,127.9,69.4,35.2,14,92,5.19,3.75,6.9,,
38,Daunte Culpepper\CulpDa00,OAK,30,qb,7,6,2-4-0,108,186,58.1,1331,5,2.7,5,2.7,59,7.2,6.5,12.3,190.1,78.0,42.7,21,130,5.80,5.20,10.1,1,1
39,J.P. Losman\LosmJ.00,BUF,26,qb,8,7,2-5-0,111,175,63.4,1204,4,2.3,6,3.4,85,6.9,5.8,10.8,150.5,76.9,38.2,14,103,5.83,4.82,7.4,2,3
