Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Drew Bledsoe*\BledDr00,NWE,22,QB,16,16,10-6-0,400,691,57.9,4555,25,3.6,27,3.9,62,6.6,5.6,11.4,284.7,73.6,22,139,6.19,5.19,3.1,3,3
2,Dan Marino*\MariDa00,MIA,33,QB,16,16,10-6-0,385,615,62.6,4453,30,4.9,17,2.8,64,7.2,7.0,11.6,278.3,89.2,18,113,6.86,6.60,2.8,4,4
3,Warren Moon*\MoonWa00,MIN,38,QB,15,15,9-6-0,371,601,61.7,4264,18,3.0,19,3.2,65,7.1,6.3,11.5,284.3,79.9,29,235,6.40,5.61,4.6,4,5
4,Brett Favre\FavrBr00,GNB,25,QB,16,16,9-7-0,363,582,62.4,3882,33,5.7,14,2.4,49,6.7,6.7,10.7,242.6,90.7,31,188,6.03,6.08,5.1,1,2
5,Jim Everett\EverJi00,NOR,31,QB,16,16,7-9-0,346,540,64.1,3855,22,4.1,18,3.3,78,7.1,6.5,11.1,240.9,84.9,21,164,6.58,5.92,3.7,2,2
6,Jeff George\GeorJe00,ATL,27,QB,16,16,7-9-0,322,524,61.5,3734,23,4.4,18,3.4,85,7.1,6.5,11.6,233.4,83.3,32,206,6.35,5.72,5.8,,
7,John Elway*\ElwaJo00,DEN,34,QB,14,14,7-7-0,307,494,62.1,3490,16,3.2,10,2.0,63,7.1,6.8,11.4,249.3,85.7,46,303,5.90,5.66,8.5,2,3
8,Joe Montana\MontJo01,KAN,38,QB,14,14,9-5-0,299,493,60.6,3283,16,3.2,9,1.8,57,6.7,6.5,11.0,234.5,83.6,19,132,6.15,5.99,3.7,2,2
9,Randall Cunningham\CunnRa00,PHI,31,QB,14,14,7-7-0,265,490,54.1,3229,16,3.3,13,2.7,93,6.6,6.0,12.2,230.6,74.4,43,333,5.43,4.94,8.1,2,2
10,Steve Young*+\YounSt00,SFO,33,QB,16,16,13-3-0,324,461,70.3,3969,35,7.6,10,2.2,69,8.6,9.2,12.3,248.1,112.8,31,163,7.74,8.24,6.3,1,1
11,Jeff Hostetler*\HostJe00,RAI,33,QB,16,16,9-7-0,263,455,57.8,3334,20,4.4,16,3.5,77,7.3,6.6,12.7,208.4,80.8,41,232,6.25,5.61,8.3,2,3
12,Stan Humphries\HumpSt00,SDG,29,QB,15,15,11-4-0,264,453,58.3,3209,17,3.8,12,2.6,99,7.1,6.6,12.2,213.9,81.6,25,223,6.25,5.83,5.2,3,3
13,Jim Kelly\KellJi00,BUF,34,QB,14,14,7-7-0,285,448,63.6,3114,22,4.9,17,3.8,83,7.0,6.2,10.9,222.4,84.6,34,244,5.95,5.28,7.1,0,1
