Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Jim Zorn\ZornJi00,SEA,23,QB,14,14,2-12-0,208,439,47.4,2571,12,2.7,27,6.2,80,5.9,3.6,12.4,183.6,49.5,25,196,5.12,3.02,5.4,,
2,Fran Tarkenton*\TarkFr00,MIN,36,QB,13,13,10-2-1,255,412,61.9,2961,17,4.1,8,1.9,56,7.2,7.1,11.6,227.8,89.3,25,221,6.27,6.22,5.7,1,3
3,Jim Hart*\HartJi00,STL,32,QB,14,14,10-4-0,218,388,56.2,2946,18,4.6,13,3.4,77,7.6,7.0,13.5,210.4,82.0,17,132,6.95,6.39,4.2,3,4
4,Roger Staubach*\StauRo00,DAL,34,QB,14,14,11-3-0,208,369,56.4,2715,14,3.8,11,3.0,53,7.4,6.8,13.1,193.9,79.9,29,215,6.28,5.74,7.3,1,2
5,Dan Fouts\FoutDa00,SDG,25,QB,14,13,5-8-0,208,359,57.9,2535,14,3.9,15,4.2,81,7.1,6.0,12.2,181.1,75.4,39,220,5.82,4.82,9.8,1,2
6,Bert Jones*+\JoneBe00,BAL,25,QB,14,14,11-3-0,207,343,60.3,3104,24,7.0,9,2.6,79,9.0,9.3,15.0,221.7,102.5,29,284,7.58,7.78,7.8,1,1
7,Ken Anderson*\AndeKe00,CIN,27,QB,14,14,10-4-0,179,338,53.0,2367,19,5.6,14,4.1,85,7.0,6.3,13.2,169.1,76.9,34,235,5.73,5.06,9.1,3,3
8,Mike Livingston\LiviMi00,KAN,31,QB,14,14,5-9-0,189,338,55.9,2682,12,3.6,13,3.8,57,7.9,6.9,14.2,191.6,77.6,31,284,6.50,5.56,8.4,3,3
9,Brian Sipe\SipeBr00,CLE,27,QB,14,12,7-5-0,178,312,57.1,2113,17,5.4,14,4.5,52,6.8,5.8,11.9,150.9,77.3,16,142,6.01,5.13,4.9,1,1
10,Steve Spurrier\SpurSt00,TAM,31,QB,14,12,0-12-0,156,311,50.2,1628,7,2.3,12,3.9,38,5.2,3.9,10.4,116.3,57.1,32,267,3.97,2.80,9.3,,
11,Dan Pastorini\PastDa00,HOU,27,P/QB,13,10,4-6-0,167,309,54.0,1795,10,3.2,10,3.2,67,5.8,5.0,10.7,138.1,68.6,24,234,4.69,3.94,7.2,0,1
12,Steve Grogan\GrogSt00,NWE,23,QB,14,14,11-3-0,145,302,48.0,1903,18,6.0,20,6.6,58,6.3,4.5,13.1,135.9,60.6,18,155,5.46,3.78,5.6,0,0
13,Greg Landry\LandGr00,DET,30,QB,14,12,5-7-0,168,291,57.7,2191,17,5.8,8,2.7,74,7.5,7.5,13.0,156.5,89.6,55,397,5.18,5.13,15.9,1,1
14,Ken Stabler*\StabKe00,OAK,31,QB,12,12,11-1-0,194,291,66.7,2737,27,9.3,17,5.8,88,9.4,8.6,14.1,228.1,103.4,19,203,8.17,7.45,6.1,3,4
15,Craig Morton\MortCr00,NYG,33,QB,12,12,2-10-0,153,284,53.9,1865,9,3.2,20,7.0,63,6.6,4.0,12.2,155.4,55.6,39,285,4.89,2.66,12.1,,
16,Bob Griese\GrieBo00,MIA,31,QB,13,13,5-8-0,162,272,59.6,2097,11,4.0,12,4.4,47,7.7,6.5,12.9,161.3,78.9,30,266,6.06,5.00,9.9,0,1
17,Bob Avellini\AvelBo00,CHI,23,QB,14,14,7-7-0,118,271,43.5,1580,8,3.0,15,5.5,63,5.8,3.9,13.4,112.9,49.4,24,225,4.59,2.85,8.1,,
18,Steve Ramsey\RamsSt00,DEN,28,QB,12,12,7-5-0,128,270,47.4,1931,11,4.1,13,4.8,71,7.2,5.8,15.1,160.9,64.9,39,261,5.40,4.22,12.6,,
19,Mike Boryla\BoryMi00,PHI,25,QB,11,10,3-7-0,123,246,50.0,1247,9,3.7,14,5.7,48,5.1,3.2,10.1,113.4,53.4,29,235,3.68,2.04,10.5,1,1
20,Lynn Dickey\DickLy00,GNB,27,QB,10,10,4-6-0,115,243,47.3,1465,7,2.9,14,5.8,69,6.0,4.0,12.7,146.5,52.2,28,279,4.38,2.57,10.3,3,3
21,Jim Plunkett\PlunJi00,SFO,29,QB,12,12,6-6-0,126,243,51.9,1592,13,5.3,16,6.6,85,6.6,4.7,12.6,132.7,63.0,26,249,4.99,3.28,9.7,,
22,Gary Marangi\MaraGa00,BUF,24,QB,11,7,0-7-0,82,232,35.3,998,7,3.0,16,6.9,39,4.3,1.8,12.2,90.7,30.8,22,166,3.28,0.99,8.7,,
23,Joe Namath\NamaJo00,NYJ,33,QB,11,8,1-7-0,114,230,49.6,1090,4,1.7,16,7.0,35,4.7,2.0,9.6,99.1,39.9,16,150,3.82,1.22,6.5,,
24,Bobby Douglass\DougBo00,NOR,29,qb,11,6,2-4-0,103,213,48.4,1288,4,1.9,8,3.8,74,6.0,4.7,12.5,117.1,58.2,26,189,4.60,3.43,10.9,,
25,Billy Kilmer\KilmBi00,WAS,37,QB,10,9,7-2-0,108,206,52.4,1252,12,5.8,10,4.9,53,6.1,5.1,11.6,125.2,70.3,15,125,5.10,4.15,6.8,3,4
26,Terry Bradshaw\BradTe00,PIT,28,QB,10,8,4-4-0,92,192,47.9,1177,10,5.2,9,4.7,50,6.1,5.1,12.8,117.7,65.4,16,164,4.87,3.88,7.7,,
27,Bobby Scott\ScotBo00,NOR,27,QB,11,8,2-6-0,103,190,54.2,1065,4,2.1,6,3.2,60,5.6,4.6,10.3,96.8,64.5,24,162,4.22,3.33,11.2,1,1
28,Joe Theismann\TheiJo00,WAS,27,qb,14,5,3-2-0,79,163,48.5,1036,8,4.9,10,6.1,44,6.4,4.6,13.1,74.0,59.8,22,172,4.67,3.10,11.9,0,1
29,Richard Todd\ToddRi00,NYJ,23,qb,13,6,2-4-0,65,162,40.1,870,3,1.9,12,7.4,44,5.4,2.4,13.4,66.9,33.2,29,233,3.34,0.82,15.2,0,1
30,James Harris\HarrJa01,RAM,29,QB,7,5,3-2-0,91,158,57.6,1460,8,5.1,6,3.8,80,9.2,8.5,16.0,208.6,89.6,14,151,7.61,6.97,8.1,1,2
31,Joe Ferguson\FergJo00,BUF,26,qb,7,7,2-5-0,74,151,49.0,1086,9,6.0,1,0.7,58,7.2,8.1,14.7,155.1,90.0,11,80,6.21,7.04,6.8,1,1
32,Kim McQuilken\McQuKi00,ATL,25,qb,8,3,1-2-0,48,121,39.7,450,2,1.7,10,8.3,39,3.7,0.3,9.4,56.3,21.7,17,164,2.07,-0.90,12.3,,
33,Steve Bartkowski\BartSt00,ATL,24,qb,5,5,1-4-0,57,120,47.5,677,2,1.7,9,7.5,50,5.6,2.6,11.9,135.4,39.5,18,150,3.82,1.17,13.0,0,1
34,John Hadl\HadlJo00,HOU,36,qb,14,4,1-3-0,60,113,53.1,634,7,6.2,8,7.1,69,5.6,3.7,10.6,45.3,60.9,15,123,3.99,2.27,11.7,,
35,Scott Hunter\HuntSc00,ATL,29,QB,8,6,2-4-0,51,110,46.4,633,5,4.5,4,3.6,34,5.8,5.0,12.4,79.1,64.7,9,81,4.64,3.97,7.6,3,3
36,Pat Haden\HadePa00,RAM,23,qb,10,7,5-1-1,60,105,57.1,896,8,7.6,4,3.8,65,8.5,8.3,14.9,89.6,94.8,13,86,6.86,6.69,11.0,1,1
37,Roman Gabriel\GabrRo00,PHI,36,qb,4,4,1-3-0,46,92,50.0,476,2,2.2,2,2.2,34,5.2,4.6,10.3,119.0,63.5,13,111,3.48,3.00,12.4,,
38,Mike Kruczek\KrucMi00,PIT,23,qb,10,6,6-0-0,51,85,60.0,758,0,0.0,3,3.5,64,8.9,7.3,14.9,75.8,74.5,11,105,6.80,5.40,11.5,,
39,Carlos Brown\BrowCa00,GNB,24,qb,13,3,0-3-0,26,74,35.1,333,2,2.7,6,8.1,47,4.5,1.4,12.8,25.6,25.3,10,66,3.18,0.44,11.9,,
40,Tony Adams\AdamTo00,KAN,26,,14,0,,36,71,50.7,575,3,4.2,4,5.6,49,8.1,6.4,16.0,41.1,68.7,9,79,6.20,4.70,11.3,,
41,Mike Rae\RaexMi00,OAK,25,qb,7,2,2-0-0,35,65,53.8,417,6,9.2,1,1.5,37,6.4,7.6,11.9,59.6,98.0,8,71,4.74,5.77,11.0,,
42,Joe Reed\ReedJo00,DET,28,qb,13,2,1-1-0,32,62,51.6,425,3,4.8,3,4.8,57,6.9,5.6,13.3,32.7,69.6,12,93,4.49,3.47,16.2,0,1
43,Ron Jaworski\JawoRo00,RAM,25,qb,5,2,2-0-0,20,52,38.5,273,1,1.9,5,9.6,42,5.3,1.3,13.7,54.6,22.8,5,51,3.89,0.30,8.8,1,1
44,Scott Bull\BullSc00,SFO,23,qb,14,2,2-0-0,21,48,43.8,252,2,4.2,4,8.3,30,5.3,2.3,12.0,18.0,39.6,5,44,3.92,1.28,9.4,,
45,Don Strock\StroDo00,MIA,26,qb,4,1,1-0-0,21,47,44.7,359,3,6.4,2,4.3,53,7.6,7.0,17.1,89.8,74.7,4,41,6.24,5.65,7.8,,
46,Norris Weese\WeesNo00,DEN,25,P,14,0,,24,47,51.1,314,1,2.1,6,12.8,43,6.7,1.4,13.1,22.4,40.0,9,45,4.80,0.34,16.1,1,1
47,Norm Snead\SneaNo00,NYG,37,qb,3,2,1-1-0,22,42,52.4,239,0,0.0,4,9.5,31,5.7,1.4,10.9,79.7,29.9,5,27,4.51,0.68,10.6,0,1
48,Parnell Dickinson\DickPa00,TAM,23,qb,8,1,0-1-0,15,39,38.5,210,1,2.6,5,12.8,49,5.4,0.1,14.0,26.3,25.5,14,124,1.62,-2.25,26.4,,
49,Bill Munson\MunsBi00,SEA,35,,5,0,,20,37,54.1,295,1,2.7,3,8.1,44,8.0,4.9,14.8,59.0,55.6,3,29,6.65,3.78,7.5,,
50,Mike Phipps\PhipMi00,CLE,29,qb,4,2,2-0-0,20,37,54.1,146,3,8.1,0,0.0,23,3.9,5.6,7.3,36.5,90.6,1,6,3.68,5.26,2.6,,
51,Craig Penrose\PenrCr00,DEN,23,qb,4,2,2-0-0,16,36,44.4,265,3,8.3,3,8.3,41,7.4,5.3,16.6,66.3,62.8,0,0,7.36,5.28,0.0,1,1
52,Randy Johnson\JohnRa00,GNB,32,qb,3,1,1-0-0,21,35,60.0,249,0,0.0,1,2.9,45,7.1,5.8,11.9,83.0,69.8,2,23,6.11,4.89,5.4,1,1
53,Bob Lee\LeexBo00,MIN,30,qb,4,1,1-0-0,15,30,50.0,156,0,0.0,2,6.7,21,5.2,2.2,10.4,39.0,37.6,6,41,3.19,0.69,16.7,0,1
54,John Walton\WaltJo00,PHI,29,,3,0,,12,28,42.9,125,0,0.0,2,7.1,33,4.5,1.3,10.4,41.7,26.6,1,6,4.10,1.00,3.4,,
55,Earl Morrall\MorrEa00,MIA,42,,14,0,,10,26,38.5,148,1,3.8,1,3.8,67,5.7,4.7,14.8,10.6,54.6,3,29,4.10,3.24,10.3,,
56,Clint Longley\LongCl00,SDG,24,qb,3,1,1-0-0,12,24,50.0,130,2,8.3,3,12.5,28,5.4,1.5,10.8,43.3,54.5,7,51,2.55,-0.52,22.6,,
57,John Reaves\ReavJo00,CIN,26,,3,0,,8,22,36.4,76,2,9.1,1,4.5,19,3.5,3.2,9.5,25.3,58.1,3,17,2.36,2.16,12.0,,
58,Dave Mays\MaysDa00,CLE,27,,4,0,,9,20,45.0,101,0,0.0,1,5.0,21,5.1,2.8,11.2,25.3,39.8,2,4,4.41,2.36,9.1,,
59,Danny White\WhitDa01,DAL,24,P,14,0,,13,20,65.0,213,2,10.0,2,10.0,56,10.7,8.2,16.4,15.2,94.4,1,15,9.43,7.05,4.8,,
60,Bill Troup\TrouBi00,BAL,25,,14,0,,8,18,44.4,117,0,0.0,1,5.6,32,6.5,4.0,14.6,8.4,43.1,1,4,5.95,3.58,5.3,,
61,Marty Domres\DomrMa00,SFO,29,,5,0,,7,14,50.0,101,0,0.0,1,7.1,41,7.2,4.0,14.4,20.2,44.0,3,32,4.06,1.41,17.6,,
62,Terry Hanratty\HanrTe00,TAM,28,qb,3,1,0-1-0,6,14,42.9,32,0,0.0,1,7.1,12,2.3,-0.9,5.3,10.7,20.5,3,24,0.47,-2.18,17.6,,
63,Mike Nott\NottMi00,KAN,24,,1,0,,4,10,40.0,46,0,0.0,0,0.0,23,4.6,4.6,11.5,46.0,54.6,1,9,3.36,3.36,9.1,,
64,Louis Carter\CartLo00,TAM,23,RB,14,8,,2,5,40.0,24,1,20.0,0,0.0,23,4.8,8.8,12.0,1.7,95.0,0,0,4.80,8.80,0.0,,
65,Virgil Carter\CartVi00,CHI,31,,8,0,,3,5,60.0,77,1,20.0,0,0.0,55,15.4,19.4,25.7,9.6,143.7,0,0,15.40,19.40,0.0,,
66,David Humm\HummDa00,OAK,24,,14,0,,3,5,60.0,41,0,0.0,0,0.0,29,8.2,8.2,13.7,2.9,86.2,1,16,4.17,4.17,16.7,,
67,Larry Lawrence\LawrLa00,TAM,27,,1,0,,0,5,0.0,0,0,0.0,2,40.0,0,0.0,-18.0,,0.0,0.0,1,8,-1.33,-16.33,16.7,,
68,Tom Owen\OwenTo00,NWE,24,,2,0,,1,5,20.0,7,0,0.0,0,0.0,7,1.4,1.4,7.0,3.5,39.6,0,0,1.40,1.40,0.0,,
69,Willard Harrell\HarrWi01,GNB,24,RB,13,4,,1,4,25.0,40,1,25.0,1,25.0,40,10.0,3.8,40.0,3.1,68.7,1,7,6.60,1.60,20.0,,
70,Greg Pruitt*\PruiGr00,CLE,25,RB,14,13,,2,3,66.7,39,1,33.3,0,0.0,29,13.0,19.7,19.5,2.8,149.3,0,0,13.00,19.67,0.0,,
71,Harold Carmichael\CarmHa00,PHI,27,WR,14,14,,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
72,Neal Jeffrey\JeffNe00,SDG,23,,5,0,,2,2,100.0,11,0,0.0,0,0.0,7,5.5,5.5,5.5,2.2,89.6,0,0,5.50,5.50,0.0,,
73,Andy Johnson\JohnAn01,NWE,24,RB,14,13,,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
74,Bob Parsons\ParsBo00,CHI,26,P,14,0,,2,2,100.0,48,0,0.0,0,0.0,25,24.0,24.0,24.0,3.4,118.7,0,0,24.00,24.00,0.0,,
75,Sherman Smith\SmitSh00,SEA,22,RB,12,9,,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
76,Herman Weaver\WeavHe20,DET,28,P,14,0,,1,2,50.0,14,0,0.0,0,0.0,14,7.0,7.0,14.0,1.0,72.9,0,0,7.00,7.00,0.0,,
77,Don Woods\WoodDo00,SDG,25,RB,11,10,,1,2,50.0,11,1,50.0,0,0.0,11,5.5,15.5,11.0,1.0,106.2,0,0,5.50,15.50,0.0,,
78,Bubba Bean\BeanBu00,ATL,22,rb,14,8,,1,1,100.0,49,1,100.0,0,0.0,49,49.0,69.0,49.0,3.5,158.3,0,0,49.00,69.00,0.0,,
79,David Beverly\BeveDa20,GNB,26,P,14,0,,1,1,100.0,18,0,0.0,0,0.0,18,18.0,18.0,18.0,1.3,118.7,0,0,18.00,18.00,0.0,,
80,Don Cockroft\cockrdon01,CLE,31,K/P,14,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
81,Ronnie Coleman\ColeRo00,HOU,25,RB,13,13,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0.00,-45.00,0.0,,
82,Ricky Davis\DaviRi20,TAM,23,,11,0,,1,1,100.0,-7,0,0.0,0,0.0,-7,-7.0,-7.0,-7.0,-0.6,79.2,0,0,-7.00,-7.00,0.0,,
83,Bill Donckers\DoncBi00,STL,25,,1,0,,1,1,100.0,16,0,0.0,0,0.0,16,16.0,16.0,16.0,16.0,118.7,0,0,16.00,16.00,0.0,,
84,Rick Engles\EnglRi20,SEA,22,P,14,0,,1,1,100.0,8,0,0.0,0,0.0,8,8.0,8.0,8.0,0.6,100.0,0,0,8.00,8.00,0.0,,
85,Mike Esposito\EspoMi00,ATL,23,FB,10,4,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
86,Bob Gresham\GresBo00,NYJ,28,,11,4,,1,1,100.0,29,0,0.0,0,0.0,29,29.0,29.0,29.0,2.6,118.7,0,0,29.00,29.00,0.0,,
87,Calvin Hill\HillCa00,WAS,29,,14,2,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
88,David Hill\HillDa01,DET,22,te,14,1,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0.00,-45.00,0.0,,
89,Alfred Jenkins\JenkAl00,ATL,24,WR,14,14,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0.00,-45.00,0.0,,
90,Charlie Joiner*\JoinCh00,SDG,29,WR,14,14,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
91,Spike Jones\JoneSp20,PHI,29,P,14,0,,1,1,100.0,-4,0,0.0,0,0.0,-4,-4.0,-4.0,-4.0,-0.3,79.2,0,0,-4.00,-4.00,0.0,,
92,Steve Largent\LargSt00,SEA,22,WR,14,13,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
93,Lee McGriff\McGrLe20,TAM,23,wr,6,3,,1,1,100.0,39,0,0.0,0,0.0,39,39.0,39.0,39.0,6.5,118.7,0,0,39.00,39.00,0.0,,
94,Terry Metcalf\MetcTe00,STL,25,PR/RB,12,12,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
