Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Sonny Jurgensen*+\JurgSo00,WAS,35,QB,14,14,7-5-2,274,442,62.0,3102,22,5.0,15,3.4,88,7.0,6.5,11.3,221.6,85.4,40,322,5.77,5.28,8.3,2,0
2,Fran Tarkenton*\TarkFr00,NYG,29,QB,14,14,6-8-0,220,409,53.8,2918,23,5.6,8,2.0,65,7.1,7.4,13.3,208.4,87.2,36,289,5.91,6.13,8.1,4,4
3,Roman Gabriel*+\GabrRo00,RAM,29,QB,14,14,11-3-0,217,399,54.4,2549,24,6.0,7,1.8,93,6.4,6.8,11.7,182.1,86.8,14,112,5.90,6.30,3.4,1,1
4,Norm Snead\SneaNo00,PHI,30,QB,13,13,4-8-1,190,379,50.1,2768,19,5.0,23,6.1,80,7.3,5.6,14.6,212.9,65.7,21,170,6.50,4.86,5.3,3,2
5,Billy Kilmer\KilmBi00,NOR,30,QB,14,14,5-9-0,193,360,53.6,2532,20,5.6,17,4.7,52,7.0,6.0,13.1,180.9,74.9,22,212,6.07,5.12,5.8,3,3
6,Bill Nelsen*\NelsBi00,CLE,28,QB,14,14,10-3-1,190,352,54.0,2743,23,6.5,19,5.4,82,7.8,6.7,14.4,195.9,78.8,17,164,6.99,5.92,4.6,2,2
7,John Brodie\BrodJo00,SFO,34,QB,13,10,2-6-2,194,347,55.9,2405,16,4.6,15,4.3,80,6.9,5.9,12.4,185.0,74.9,16,134,6.26,5.28,4.4,2,2
8,Johnny Unitas\UnitJo00,BAL,36,QB,13,12,7-5-0,178,327,54.4,2342,12,3.7,20,6.1,52,7.2,5.1,13.2,180.2,64.0,12,93,6.63,4.69,3.5,2,3
9,Craig Morton\MortCr00,DAL,26,QB,13,13,10-2-1,162,302,53.6,2619,21,7.0,15,5.0,67,8.7,7.8,16.2,201.5,85.4,30,246,7.15,6.38,9.0,2,2
10,Charley Johnson\JohnCh02,STL,31,QB,12,9,2-6-1,131,260,50.4,1847,13,5.0,13,5.0,84,7.1,5.9,14.1,153.9,69.5,11,101,6.44,5.24,4.1,1,0
11,Joe Kapp*\KappJo00,MIN,31,QB,13,13,12-1-0,120,237,50.6,1726,19,8.0,13,5.5,83,7.3,6.4,14.4,132.8,78.5,28,198,5.77,4.99,10.6,1,1
12,Dick Shiner\ShinDi00,PIT,27,QB,12,9,1-8-0,97,209,46.4,1422,7,3.3,10,4.8,63,6.8,5.3,14.7,118.5,60.3,24,157,5.43,4.10,10.3,1,1
13,Jim Hart\HartJi00,STL,25,qb,9,5,2-3-0,84,169,49.7,1086,6,3.6,12,7.1,60,6.4,3.9,12.9,120.7,52.5,10,100,5.51,3.16,5.6,1,1
14,Don Horn\HornDo00,GNB,24,qb,9,5,4-1-0,89,168,53.0,1505,11,6.5,11,6.5,60,9.0,7.3,16.9,167.2,78.1,10,85,7.98,6.43,5.6,,
