Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Steve DeBerg\DebeSt00,SFO,25,QB,16,15,2-13-0,347,578,60.0,3652,17,2.9,21,3.6,50,6.3,5.3,10.5,228.3,73.1,17,119,5.94,4.92,2.9,1,1
2,Tommy Kramer\KramTo00,MIN,24,QB,16,16,7-9-0,315,566,55.7,3397,23,4.1,24,4.2,55,6.0,4.9,10.8,212.3,69.3,36,249,5.23,4.20,6.0,3,3
3,Brian Sipe\SipeBr00,CLE,30,QB,16,16,9-7-0,286,535,53.5,3793,28,5.2,26,4.9,74,7.1,5.9,13.3,237.1,73.4,43,347,5.96,4.91,7.4,5,7
4,Dan Fouts*+\FoutDa00,SDG,28,QB,16,16,12-4-0,332,530,62.6,4082,24,4.5,24,4.5,65,7.7,6.6,12.3,255.1,82.6,28,195,6.97,5.89,5.0,1,1
5,Jim Zorn\ZornJi00,SEA,26,QB,16,16,9-7-0,285,505,56.4,3661,20,4.0,18,3.6,65,7.2,6.4,12.8,228.8,77.7,23,201,6.55,5.78,4.4,2,3
6,Ken Stabler\StabKe00,OAK,34,QB,16,16,9-7-0,304,498,61.0,3615,26,5.2,22,4.4,66,7.3,6.3,11.9,225.9,82.2,34,284,6.26,5.38,6.4,1,1
7,Terry Bradshaw*\BradTe00,PIT,31,QB,16,16,12-4-0,259,472,54.9,3724,26,5.5,25,5.3,65,7.9,6.6,14.4,232.8,77.0,24,196,7.11,5.89,4.8,4,4
8,Roger Staubach*\StauRo00,DAL,37,QB,16,16,11-5-0,267,461,57.9,3586,27,5.9,11,2.4,75,7.8,7.9,13.4,224.1,92.3,36,240,6.73,6.82,7.2,4,4
9,Joe Ferguson\FergJo00,BUF,29,QB,16,16,7-9-0,238,458,52.0,3572,14,3.1,15,3.3,84,7.8,6.9,15.0,223.3,74.4,43,387,6.36,5.57,8.6,2,3
10,Greg Landry\LandGr00,BAL,33,QB,16,12,2-10-0,270,457,59.1,2932,15,3.3,15,3.3,67,6.4,5.6,10.9,183.3,75.3,42,326,5.22,4.47,8.4,,
11,Steve Grogan\GrogSt00,NWE,26,QB,16,16,9-7-0,206,423,48.7,3286,28,6.6,20,4.7,63,7.8,7.0,16.0,205.4,77.4,45,341,6.29,5.57,9.6,1,1
12,Archie Manning*\MannAr00,NOR,30,QB,16,16,8-8-0,252,420,60.0,3169,15,3.6,20,4.8,85,7.5,6.1,12.6,198.1,75.6,17,140,6.93,5.56,3.9,,
13,Doug Williams\WillDo01,TAM,24,QB,16,16,10-6-0,166,397,41.8,2448,18,4.5,24,6.0,66,6.2,4.4,14.7,153.0,52.5,7,57,5.92,4.14,1.7,3,4
14,Joe Theismann\TheiJo00,WAS,30,QB,16,16,10-6-0,233,395,59.0,2797,20,5.1,13,3.3,62,7.1,6.6,12.0,174.8,83.9,34,263,5.91,5.48,7.9,3,4
15,Steve Bartkowski\BartSt00,ATL,27,QB,14,14,6-8-0,204,380,53.7,2505,17,4.5,20,5.3,57,6.6,5.1,12.3,178.9,67.3,39,286,5.30,3.96,9.3,5,4
16,Jim Hart\HartJi00,STL,35,QB,14,13,3-10-0,194,378,51.3,2218,9,2.4,20,5.3,51,5.9,4.0,11.4,158.4,55.2,25,183,5.05,3.26,6.2,1,1
17,Ron Jaworski\JawoRo00,PHI,28,QB,16,16,11-5-0,190,374,50.8,2669,18,4.8,12,3.2,53,7.1,6.7,14.0,166.8,76.8,34,272,5.88,5.43,8.3,2,2
18,Craig Morton\MortCr00,DEN,36,QB,14,10,6-4-0,204,370,55.1,2626,16,4.3,19,5.1,64,7.1,5.7,12.9,187.6,70.6,30,241,5.96,4.63,7.5,1,3
19,Jeff Komlo\KomlJe00,DET,23,QB,16,14,2-12-0,183,368,49.7,2238,11,3.0,23,6.3,40,6.1,3.9,12.2,139.9,52.8,40,361,4.60,2.60,9.8,1,1
20,Ken Anderson\AndeKe00,CIN,30,QB,15,15,4-11-0,189,339,55.8,2340,16,4.7,10,2.9,73,6.9,6.5,12.4,156.0,80.7,46,324,5.24,4.90,11.9,,
21,Richard Todd\ToddRi00,NYJ,26,QB,15,15,8-7-0,171,334,51.2,2660,16,4.8,22,6.6,72,8.0,6.0,15.6,177.3,66.5,25,222,6.79,4.92,7.0,,
22,Dan Pastorini\PastDa00,HOU,30,QB,15,15,10-5-0,163,324,50.3,2090,14,4.3,18,5.6,55,6.5,4.8,12.8,139.3,62.1,29,212,5.32,3.82,8.2,2,4
23,David Whitehurst\WhitDa02,GNB,24,QB,13,13,4-9-0,179,322,55.6,2247,10,3.1,18,5.6,78,7.0,5.1,12.6,172.8,64.5,32,256,5.62,3.90,9.0,,
24,Bob Griese\GrieBo00,MIA,34,QB,14,12,7-5-0,176,310,56.8,2160,14,4.5,16,5.2,51,7.0,5.5,12.3,154.3,72.0,26,223,5.76,4.46,7.7,1,1
25,Pat Haden\HadePa00,RAM,26,QB,10,10,5-5-0,163,290,56.2,1854,11,3.8,14,4.8,50,6.4,5.0,11.4,185.4,68.1,21,178,5.39,4.07,6.8,0,0
26,Steve Fuller\FullSt00,KAN,22,QB,16,12,6-6-0,146,270,54.1,1484,6,2.2,14,5.2,40,5.5,3.6,10.2,92.8,55.8,37,244,4.04,2.38,12.1,0,1
27,Phil Simms\SimmPh00,NYG,24,QB,12,11,6-5-0,134,265,50.6,1743,13,4.9,14,5.3,61,6.6,5.2,13.0,145.3,66.0,39,319,4.68,3.47,12.8,0,0
28,Mike Phipps\PhipMi00,CHI,32,QB,12,10,9-1-0,134,255,52.5,1535,9,3.5,8,3.1,68,6.0,5.3,11.5,127.9,69.6,15,145,5.15,4.48,5.6,2,2
29,Lynn Dickey\DickLy00,GNB,30,qb,5,3,1-2-0,60,119,50.4,787,5,4.2,4,3.4,52,6.6,5.9,13.1,157.4,71.7,15,120,4.98,4.38,11.2,,
30,Vince Ferragamo\FerrVi00,RAM,25,qb,8,5,4-1-0,53,110,48.2,778,5,4.5,10,9.1,71,7.1,3.9,14.7,97.3,49.0,11,115,5.48,2.59,9.1,,
31,Steve Pisarkiewicz\PisaSt00,STL,26,qb,6,3,2-1-0,52,109,47.7,621,3,2.8,4,3.7,78,5.7,4.6,11.9,103.5,59.5,14,85,4.36,3.38,11.4,1,1
32,Joe Pisarcik\PisaJo00,NYG,27,qb,4,4,0-4-0,43,108,39.8,537,2,1.9,6,5.6,48,5.0,2.8,12.5,134.3,39.0,17,123,3.31,1.47,13.6,,
33,Don Strock\StroDo00,MIA,29,qb,16,4,3-1-0,56,100,56.0,830,6,6.0,6,6.0,53,8.3,6.8,14.8,51.9,78.3,2,22,7.92,6.45,2.0,1,1
34,Norris Weese\WeesNo00,DEN,28,qb,16,6,4-2-0,53,97,54.6,731,1,1.0,3,3.1,50,7.5,6.4,13.8,45.7,69.6,13,86,5.86,4.82,11.8,0,1
35,Bert Jones\JoneBe00,BAL,28,qb,4,4,3-1-0,43,92,46.7,643,3,3.3,3,3.3,59,7.0,6.2,15.0,160.8,67.4,10,77,5.55,4.81,9.8,2,2
36,Mike Livingston\LiviMi00,KAN,34,qb,5,4,1-3-0,44,90,48.9,469,1,1.1,4,4.4,38,5.2,3.4,10.7,93.8,49.7,5,49,4.42,2.74,5.3,,
37,Jack Thompson\ThomJa00,CIN,23,qb,9,1,0-1-0,39,87,44.8,481,1,1.1,5,5.7,50,5.5,3.2,12.3,53.4,42.4,16,178,2.94,0.95,15.5,,
38,June Jones\JoneJu00,ATL,26,qb,5,2,0-2-0,38,83,45.8,505,2,2.4,3,3.6,49,6.1,4.9,13.3,101.0,58.6,13,100,4.22,3.23,13.5,,
39,Vince Evans\EvanVi00,CHI,24,qb,4,3,0-3-0,32,63,50.8,508,4,6.3,5,7.9,65,8.1,5.8,15.9,127.0,66.1,8,75,6.10,4.06,11.3,,
40,Gifford Nielsen\NielGi00,HOU,25,qb,16,1,1-0-0,32,61,52.5,404,3,4.9,3,4.9,41,6.6,5.4,12.6,25.3,69.3,3,26,5.91,4.73,4.7,,
41,Bob Avellini\AvelBo00,CHI,26,qb,7,3,1-2-0,27,51,52.9,310,2,3.9,3,5.9,54,6.1,4.2,11.5,44.3,60.1,8,58,4.27,2.66,13.6,0,1
42,Tom Owen\OwenTo00,NWE,27,,6,0,,27,47,57.4,248,2,4.3,3,6.4,32,5.3,3.3,9.2,41.3,59.5,4,41,4.06,2.20,7.8,1,1
43,Scott Hunter\HuntSc00,DET,32,,13,0,,18,41,43.9,321,1,2.4,1,2.4,82,7.8,7.2,17.8,24.7,69.3,4,33,6.40,5.84,8.9,,
44,Danny White\WhitDa01,DAL,27,P,16,0,,19,39,48.7,267,1,2.6,2,5.1,45,6.8,5.1,14.1,16.7,58.4,4,46,5.14,3.51,9.3,,
45,Mike Rae\RaexMi00,TAM,28,,5,0,,17,36,47.2,252,1,2.8,2,5.6,29,7.0,5.1,14.8,50.4,56.7,5,31,5.39,3.68,12.2,,
46,John Walton\WaltJo00,PHI,32,,8,0,,19,36,52.8,213,3,8.3,1,2.8,31,5.9,6.3,11.2,26.6,86.9,0,0,5.92,6.33,0.0,,
47,Joe Reed\ReedJo00,DET,31,qb,2,1,0-1-0,14,32,43.8,164,2,6.3,1,3.1,50,5.1,5.0,11.7,82.0,67.7,5,27,3.70,3.57,13.5,,
48,Jeff Rutledge\RutlJe00,RAM,22,qb,3,1,0-1-0,13,32,40.6,125,1,3.1,4,12.5,22,3.9,-1.1,9.6,41.7,23.0,3,27,2.80,-1.77,8.6,,
49,Matt Robinson\RobiMa01,NYJ,24,qb,15,1,0-1-0,17,31,54.8,191,0,0.0,2,6.5,33,6.2,3.3,11.2,12.7,46.6,5,30,4.47,1.97,13.9,,
50,Randy Dean\DeanRa00,NYG,24,,16,1,0-1-0,11,26,42.3,91,0,0.0,2,7.7,20,3.5,0.0,8.3,5.7,19.9,3,23,2.34,-0.76,10.3,,
51,Joe Montana\MontJo01,SFO,23,qb,16,1,0-1-0,13,23,56.5,96,1,4.3,0,0.0,18,4.2,5.0,7.4,6.0,81.1,0,0,4.17,5.04,0.0,,
52,Bob Lee\LeexBo00,RAM,33,,3,0,,11,22,50.0,243,2,9.1,1,4.5,41,11.0,10.8,22.1,81.0,101.1,4,39,7.85,7.65,15.4,0,1
53,Mike Kruczek\KrucMi00,PIT,26,,8,0,,13,20,65.0,153,0,0.0,1,5.0,31,7.7,5.4,11.8,19.1,67.3,3,26,5.52,3.57,13.0,,
54,Mike Moroski\MoroMi00,ATL,22,,2,0,,8,15,53.3,97,0,0.0,0,0.0,23,6.5,6.5,12.1,48.5,73.5,2,12,5.00,5.00,11.8,,
55,Jim Plunkett\PlunJi00,OAK,32,,4,0,,7,15,46.7,89,1,6.7,1,6.7,39,5.9,4.3,12.7,22.3,60.1,2,9,4.71,3.24,11.8,,
56,Jerry Golsteyn\GolsJe00,2TM,25,,2,1,0-1-0,2,9,22.2,16,0,0.0,2,22.2,15,1.8,-8.2,8.0,8.0,0.0,2,18,-0.18,-8.36,18.2,,
