Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,John Hadl\HadlJo00,SDG,31,QB,14,14,6-8-0,233,431,54.1,3075,21,4.9,25,5.8,77,7.1,5.5,13.2,219.6,68.9,16,145,6.55,4.98,3.6,2,3
2,John Brodie\BrodJo00,SFO,36,QB,14,14,9-5-0,208,387,53.7,2642,18,4.7,24,6.2,71,6.8,5.0,12.7,188.7,65.0,11,111,6.36,4.55,2.8,1,2
3,Fran Tarkenton\TarkFr00,NYG,31,QB,13,13,4-9-0,226,386,58.5,2567,11,2.8,21,5.4,81,6.7,4.8,11.4,197.5,65.4,27,232,5.65,3.90,6.5,1,1
4,Terry Bradshaw\BradTe00,PIT,23,QB,14,13,5-8-0,203,373,54.4,2259,13,3.5,22,5.9,49,6.1,4.1,11.1,161.4,59.7,33,287,4.86,3.06,8.1,3,3
5,Roman Gabriel\GabrRo00,RAM,31,QB,14,14,8-5-1,180,352,51.1,2238,17,4.8,10,2.8,68,6.4,6.0,12.4,159.9,75.4,25,200,5.41,5.11,6.6,2,1
6,Jim Plunkett\PlunJi00,NWE,24,QB,14,14,6-8-0,158,328,48.2,2158,19,5.8,16,4.9,88,6.6,5.5,13.7,154.1,68.6,36,319,5.05,4.12,9.9,1,1
7,Bill Nelsen\NelsBi00,CLE,30,QB,14,13,9-4-0,174,325,53.5,2319,13,4.0,23,7.1,53,7.1,4.8,13.3,165.6,60.3,22,222,6.04,3.81,6.3,2,3
8,Billy Kilmer\KilmBi00,WAS,32,QB,14,13,8-4-1,166,306,54.2,2221,13,4.2,13,4.2,71,7.3,6.2,13.4,158.6,74.0,16,110,6.56,5.55,5.0,1,0
9,Len Dawson*\DawsLe00,KAN,36,QB,14,13,9-3-1,167,301,55.5,2504,15,5.0,13,4.3,82,8.3,7.4,15.0,178.9,81.6,30,303,6.65,5.79,9.1,3,3
10,Dennis Shaw\ShawDe00,BUF,24,QB,13,12,1-11-0,149,291,51.2,1813,11,3.8,26,8.9,75,6.2,3.0,12.2,139.5,46.1,33,276,4.74,1.81,10.2,,
11,Dan Pastorini\PastDa00,HOU,22,P/QB,14,8,4-4-0,127,270,47.0,1702,7,2.6,21,7.8,62,6.3,3.3,13.4,121.6,43.8,20,152,5.34,2.57,6.9,1,1
12,Pete Liske\LiskPe00,PHI,29,QB,14,10,5-5-0,143,269,53.2,1957,11,4.1,15,5.6,69,7.3,5.6,13.7,139.8,67.1,13,134,6.46,4.85,4.6,1,1
