Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Joe Ferguson\FergJo00,BUF,27,QB,14,14,3-11-0,221,457,48.4,2803,12,2.6,24,5.3,42,6.1,4.3,12.7,200.2,54.8,36,273,5.13,3.43,7.3,1,1
2,Bert Jones\JoneBe00,BAL,26,QB,14,14,10-4-0,224,393,57.0,2686,17,4.3,11,2.8,78,6.8,6.4,12.0,191.9,80.8,26,221,5.88,5.51,6.2,1,2
3,Roger Staubach*\StauRo00,DAL,35,QB,14,14,12-2-0,210,361,58.2,2620,18,5.0,9,2.5,67,7.3,7.1,12.5,187.1,87.0,30,219,6.14,6.03,7.7,2,3
4,Jim Hart*\HartJi00,STL,33,QB,14,14,7-7-0,186,355,52.4,2542,13,3.7,20,5.6,69,7.2,5.4,13.7,181.6,64.3,13,89,6.67,4.93,3.5,2,2
5,Ron Jaworski\JawoRo00,PHI,26,QB,14,14,5-9-0,166,346,48.0,2183,18,5.2,21,6.1,55,6.3,4.6,13.2,155.9,60.4,47,342,4.68,3.20,12.0,1,1
6,Ken Anderson\AndeKe00,CIN,28,QB,14,13,7-6-0,166,323,51.4,2145,11,3.4,11,3.4,94,6.6,5.8,12.9,153.2,69.7,28,197,5.55,4.77,8.0,1,2
7,Dan Pastorini\PastDa00,HOU,28,QB,14,12,8-4-0,169,319,53.0,1987,13,4.1,18,5.6,85,6.2,4.5,11.8,141.9,62.3,20,198,5.28,3.65,5.9,0,0
8,Terry Bradshaw\BradTe00,PIT,29,QB,14,14,9-5-0,162,314,51.6,2523,17,5.4,19,6.1,65,8.0,6.4,15.6,180.2,71.4,26,235,6.73,5.21,7.6,0,1
9,Bob Griese*+\GrieBo00,MIA,32,QB,14,14,10-4-0,180,307,58.6,2252,22,7.2,13,4.2,73,7.3,6.9,12.5,160.9,87.8,36,303,5.68,5.26,10.5,,
10,Steve Grogan\GrogSt00,NWE,24,QB,14,14,9-5-0,160,305,52.5,2162,17,5.6,21,6.9,68,7.1,5.1,13.5,154.4,65.2,14,155,6.29,4.39,4.4,2,2
11,Ken Stabler*\StabKe00,OAK,32,QB,13,13,10-3-0,169,294,57.5,2176,20,6.8,20,6.8,44,7.4,5.7,12.9,167.4,75.2,16,141,6.56,4.95,5.2,1,1
12,Bob Avellini\AvelBo00,CHI,24,QB,14,14,9-5-0,154,293,52.6,2004,11,3.8,18,6.1,75,6.8,4.8,13.0,143.1,61.3,23,200,5.71,3.84,7.3,3,4
13,Mike Livingston\LiviMi00,KAN,32,QB,13,11,1-10-0,143,282,50.7,1823,9,3.2,15,5.3,49,6.5,4.7,12.7,140.2,59.8,30,285,4.93,3.34,9.6,,
14,Richard Todd\ToddRi00,NYJ,24,QB,12,11,3-8-0,133,265,50.2,1863,11,4.2,17,6.4,87,7.0,5.0,14.0,155.3,60.3,24,203,5.74,3.86,8.3,1,3
15,Fran Tarkenton\TarkFr00,MIN,37,QB,9,9,6-3-0,155,258,60.1,1734,9,3.5,14,5.4,59,6.7,5.0,11.2,192.7,69.2,22,232,5.36,3.76,7.9,1,2
16,Craig Morton\MortCr00,DEN,34,QB,14,14,12-2-0,131,254,51.6,1929,14,5.5,8,3.1,81,7.6,7.3,14.7,137.8,82.0,43,338,5.36,5.09,14.5,2,3
17,Jim Zorn\ZornJi00,SEA,24,QB,10,10,4-6-0,104,251,41.4,1687,16,6.4,19,7.6,82,6.7,4.6,16.2,168.7,54.3,11,43,6.27,4.23,4.2,1,1
18,Jim Plunkett\PlunJi00,SFO,30,QB,14,14,5-9-0,128,248,51.6,1693,9,3.6,14,5.6,47,6.8,5.0,13.2,120.9,62.1,30,242,5.22,3.60,10.8,0,2
