Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Peyton Manning\MannPe00,IND,22,QB,16,16,3-13-0,326,575,56.7,3739,26,4.5,28,4.9,78,6.5,5.2,11.5,233.7,71.2,22,109,6.08,4.84,3.7,1,1
2,Brett Favre\FavrBr00,GNB,29,QB,16,16,11-5-0,347,551,63.0,4212,31,5.6,23,4.2,84,7.6,6.9,12.1,263.3,87.8,38,223,6.77,6.07,6.5,1,2
3,Jake Plummer\PlumJa00,ARI,24,QB,16,16,9-7-0,324,547,59.2,3737,17,3.1,20,3.7,57,6.8,5.8,11.5,233.6,75.0,49,280,5.80,4.86,8.2,5,7
4,Dan Marino\MariDa00,MIA,37,QB,16,16,10-6-0,310,537,57.7,3497,23,4.3,15,2.8,61,6.5,6.1,11.3,218.6,80.0,23,178,5.93,5.54,4.1,1,1
5,Steve Young*\YounSt00,SFO,37,QB,15,15,11-4-0,322,517,62.3,4170,36,7.0,12,2.3,81,8.1,8.4,13.0,278.0,101.1,48,234,6.97,7.28,8.5,2,3
6,Trent Green\GreeTr00,WAS,28,QB,15,14,6-8-0,278,509,54.6,3441,23,4.5,11,2.2,75,6.8,6.7,12.4,229.4,81.8,49,338,5.56,5.50,8.8,2,2
7,Steve McNair\McNaSt00,TEN,25,QB,16,16,8-8-0,289,492,58.7,3228,15,3.0,10,2.0,47,6.6,6.3,11.2,201.8,80.1,33,176,5.81,5.53,6.3,1,2
8,Drew Bledsoe\BledDr00,NWE,26,QB,14,14,8-6-0,263,481,54.7,3633,20,4.2,14,2.9,86,7.6,7.1,13.8,259.5,80.9,36,295,6.46,6.01,7.0,3,4
9,Kordell Stewart\StewKo00,PIT,26,QB,16,16,7-9-0,252,458,55.0,2560,11,2.4,18,3.9,55,5.6,4.3,10.2,160.0,62.9,33,211,4.78,3.58,6.7,0,1
10,Trent Dilfer\DilfTr00,TAM,26,QB,16,16,8-8-0,225,429,52.4,2729,21,4.9,15,3.5,79,6.4,5.8,12.1,170.6,74.0,27,172,5.61,5.05,5.9,3,3
11,Randall Cunningham*+\CunnRa00,MIN,35,QB,15,14,13-1-0,259,425,60.9,3704,34,8.0,10,2.4,67,8.7,9.3,14.3,246.9,106.0,20,132,8.03,8.54,4.5,0,1
12,Vinny Testaverde*\TestVi00,NYJ,35,QB,14,13,12-1-0,259,421,61.5,3256,29,6.9,7,1.7,82,7.7,8.4,12.6,232.6,101.6,19,140,7.08,7.68,4.3,3,3
13,Tony Banks\BankTo00,STL,25,QB,14,14,4-10-0,241,408,59.1,2535,7,1.7,14,3.4,80,6.2,5.0,10.5,181.1,68.6,41,237,5.12,4.03,9.1,1,1
14,John Elway*\ElwaJo00,DEN,38,QB,13,12,10-2-0,210,356,59.0,2806,22,6.2,10,2.8,58,7.9,7.9,13.4,215.8,93.0,18,135,7.14,7.11,4.8,2,2
15,Mark Brunell\BrunMa00,JAX,28,QB,13,13,10-3-0,208,354,58.8,2601,20,5.6,9,2.5,78,7.3,7.3,12.5,200.1,89.9,28,172,6.36,6.35,7.3,4,4
16,Doug Flutie*\FlutDo00,BUF,36,QB,13,10,7-3-0,202,354,57.1,2711,20,5.6,11,3.1,84,7.7,7.4,13.4,208.5,87.4,12,78,7.19,6.93,3.3,2,2
17,Rich Gannon\GannRi00,KAN,33,QB,12,10,5-5-0,206,354,58.2,2305,10,2.8,6,1.7,80,6.5,6.3,11.2,192.1,80.1,25,155,5.67,5.49,6.6,1,1
18,Kerry Collins\CollKe00,2TM,26,,11,11,2-9-0,170,353,48.2,2213,12,3.4,15,4.2,89,6.3,5.0,13.0,201.2,62.0,31,191,5.27,4.13,8.1,,
19,Steve Beuerlein\BeueSt00,CAR,33,QB,12,12,4-8-0,216,343,63.0,2613,17,5.0,12,3.5,68,7.6,7.0,12.1,217.8,88.2,44,251,6.10,5.59,11.4,1,1
20,Neil O'Donnell\ODonNe00,CIN,32,QB,13,11,2-9-0,212,343,61.8,2216,15,4.4,4,1.2,76,6.5,6.8,10.5,170.5,90.2,30,217,5.36,5.68,8.0,1,1
21,Chris Chandler*\ChanCh00,ATL,33,QB,14,14,13-1-0,190,327,58.1,3154,25,7.6,12,3.7,78,9.6,9.5,16.6,225.3,100.9,45,283,7.72,7.61,12.1,2,2
22,Craig Whelihan\WhelCr00,SDG,27,QB,10,7,2-5-0,149,320,46.6,1803,8,2.5,19,5.9,55,5.6,3.5,12.1,180.3,48.0,15,111,5.05,2.98,4.5,2,2
23,Troy Aikman\AikmTr00,DAL,32,QB,11,11,7-4-0,187,315,59.4,2330,12,3.8,5,1.6,67,7.4,7.4,12.5,211.8,88.5,9,58,7.01,7.06,2.8,,
24,Charlie Batch\BatcCh00,DET,24,QB,12,12,5-7-0,173,303,57.1,2178,11,3.6,6,2.0,98,7.2,7.0,12.6,181.5,83.5,37,222,5.75,5.61,10.9,2,2
25,Danny Kanell\KaneDa00,NYG,25,QB,10,10,3-7-0,160,299,53.5,1603,11,3.7,10,3.3,46,5.4,4.6,10.0,160.3,67.3,22,172,4.46,3.74,6.9,,
26,Jim Harbaugh\HarbJi00,BAL,35,QB,14,12,5-7-0,164,293,56.0,1839,12,4.1,11,3.8,66,6.3,5.4,11.2,131.4,72.9,23,145,5.36,4.55,7.3,1,2
27,Donald Hollas\HollDo00,OAK,31,qb,12,6,4-2-0,135,260,51.9,1754,10,3.8,16,6.2,47,6.7,4.7,13.0,146.2,60.6,36,207,5.23,3.47,12.2,1,1
28,Warren Moon\MoonWa00,SEA,42,QB,10,10,4-6-0,145,258,56.2,1632,11,4.3,8,3.1,45,6.3,5.8,11.3,163.2,76.6,22,140,5.33,4.83,7.9,,
29,Erik Kramer\KramEr00,CHI,34,QB,8,8,3-5-0,151,250,60.4,1823,9,3.6,7,2.8,79,7.3,6.8,12.1,227.9,83.1,10,71,6.74,6.22,3.8,2,3
30,Ryan Leaf\LeafRy00,SDG,22,qb,10,9,3-6-0,111,245,45.3,1289,2,0.8,15,6.1,67,5.3,2.7,11.6,128.9,39.0,22,140,4.30,1.93,8.2,1,2
31,Bobby Hoying\HoyiBo00,PHI,26,QB,8,7,1-6-0,114,224,50.9,961,0,0.0,9,4.0,38,4.3,2.5,8.4,120.1,45.6,35,185,3.00,1.43,13.5,1,1
32,Kent Graham\GrahKe00,NYG,30,qb,11,6,5-1-0,105,205,51.2,1219,7,3.4,5,2.4,87,5.9,5.5,11.6,110.8,70.8,12,75,5.27,4.88,5.5,1,1
33,Billy Joe Tolliver\TollBi00,NOR,32,qb,7,4,1-3-0,110,199,55.3,1427,8,4.0,4,2.0,82,7.2,7.1,13.0,203.9,83.1,11,88,6.38,6.28,5.2,,
