Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,John Elway*\ElwaJo00,DEN,33,QB,16,16,9-7-0,348,551,63.2,4030,25,4.5,10,1.8,63,7.3,7.4,11.6,251.9,92.8,39,293,6.33,6.42,6.6,1,1
2,Brett Favre*\FavrBr00,GNB,24,QB,16,16,9-7-0,318,522,60.9,3303,19,3.6,24,4.6,66,6.3,5.0,10.4,206.4,72.2,30,199,5.62,4.36,5.4,3,3
3,Warren Moon*\MoonWa00,HOU,37,QB,15,14,10-4-0,303,520,58.3,3485,21,4.0,21,4.0,80,6.7,5.7,11.5,232.3,75.2,34,218,5.90,4.95,6.1,1,1
4,Rick Mirer\MireRi00,SEA,23,QB,16,16,6-10-0,274,486,56.4,2833,12,2.5,17,3.5,53,5.8,4.7,10.3,177.1,67.0,47,235,4.87,3.89,8.8,1,1
5,Neil O'Donnell\ODonNe00,PIT,27,QB,16,15,9-6-0,270,486,55.6,3208,14,2.9,7,1.4,71,6.6,6.5,11.9,200.5,79.5,41,331,5.46,5.39,7.8,2,2
6,Boomer Esiason*\EsiaBo00,NYJ,32,QB,16,16,8-8-0,288,473,60.9,3421,16,3.4,11,2.3,77,7.2,6.9,11.9,213.8,84.5,18,139,6.68,6.33,3.7,,
7,Jim Kelly\KellJi00,BUF,33,QB,16,16,12-4-0,288,470,61.3,3382,18,3.8,18,3.8,65,7.2,6.2,11.7,211.4,79.9,25,171,6.49,5.58,5.1,3,4
8,Steve Young*+\YounSt00,SFO,32,QB,16,16,10-6-0,314,462,68.0,4023,29,6.3,16,3.5,80,8.7,8.4,12.8,251.4,101.5,31,160,7.84,7.55,6.3,,
9,Craig Erickson\EricCr00,TAM,24,QB,16,15,5-10-0,233,457,51.0,3054,18,3.9,21,4.6,67,6.7,5.4,13.1,190.9,66.4,35,236,5.73,4.54,7.1,,
10,Bobby Hebert*\HebeBo00,ATL,33,QB,14,12,4-8-0,263,430,61.2,2978,24,5.6,17,4.0,98,6.9,6.3,11.3,212.7,84.0,29,190,6.07,5.45,6.3,1,1
