Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Roman Gabriel\GabrRo00,RAM,30,QB,14,14,9-4-1,211,407,51.8,2552,16,3.9,12,2.9,71,6.3,5.7,12.1,182.3,72.2,20,134,5.66,5.15,4.7,1,1
2,Fran Tarkenton*\TarkFr00,NYG,30,QB,14,14,9-5-0,219,389,56.3,2777,19,4.9,12,3.1,59,7.1,6.7,12.7,198.4,82.2,36,249,5.95,5.57,8.5,2,5
3,Jack Concannon\ConcJa00,CHI,27,QB,14,13,5-8-0,194,385,50.4,2130,16,4.2,18,4.7,69,5.5,4.3,11.0,152.1,61.5,24,206,4.70,3.51,5.9,,
4,John Brodie*+\BrodJo00,SFO,35,QB,14,14,10-3-1,223,378,59.0,2941,24,6.3,10,2.6,79,7.8,7.9,13.2,210.1,93.8,8,67,7.45,7.52,2.1,2,2
5,Jim Hart\HartJi00,STL,26,QB,14,14,8-5-1,171,373,45.8,2575,14,3.8,18,4.8,79,6.9,5.5,15.1,183.9,61.5,26,216,5.91,4.58,6.5,1,1
6,Daryle Lamonica*\LamoDa00,OAK,29,QB,14,14,8-4-2,179,356,50.3,2516,22,6.2,15,4.2,60,7.1,6.4,14.1,179.7,76.5,15,127,6.44,5.81,4.0,3,3
7,Sonny Jurgensen\JurgSo00,WAS,36,QB,14,14,6-8-0,202,337,59.9,2354,23,6.8,10,3.0,66,7.0,7.0,11.7,168.1,91.5,25,214,5.91,5.94,6.9,,
8,Norm Snead\SneaNo00,PHI,31,QB,14,13,3-9-1,181,335,54.0,2323,15,4.5,20,6.0,79,6.9,5.1,12.8,165.9,66.1,21,181,6.02,4.33,5.9,1,2
9,John Hadl\HadlJo00,SDG,30,QB,14,12,4-5-3,162,327,49.5,2388,22,6.7,15,4.6,67,7.3,6.6,14.7,170.6,77.1,42,327,5.59,4.95,11.4,1,0
10,Dennis Shaw\ShawDe00,BUF,23,QB,14,12,3-8-1,178,321,55.5,2507,10,3.1,20,6.2,48,7.8,5.6,14.1,179.1,65.3,41,387,5.86,3.92,11.3,3,2
11,Johnny Unitas\UnitJo00,BAL,37,QB,14,13,10-2-1,166,321,51.7,2213,14,4.4,18,5.6,55,6.9,5.2,13.3,158.1,65.1,19,158,6.04,4.49,5.6,3,3
12,Bill Nelsen\NelsBi00,CLE,29,QB,12,12,6-6-0,159,313,50.8,2156,16,5.1,16,5.1,78,6.9,5.6,13.6,179.7,68.9,8,79,6.47,5.22,2.5,1,1
13,Charley Johnson\JohnCh02,HOU,32,QB,10,10,3-7-0,144,281,51.2,1652,7,2.5,12,4.3,63,5.9,4.5,11.5,165.2,59.8,15,124,5.16,3.81,5.1,1,1
14,Virgil Carter\CartVi00,CIN,25,QB,13,11,7-4-0,143,278,51.4,1647,9,3.2,9,3.2,56,5.9,5.1,11.5,126.7,66.9,21,154,4.99,4.24,7.0,,
15,Bob Berry\BerrBo00,ATL,28,QB,12,12,3-7-2,156,269,58.0,1806,16,5.9,13,4.8,51,6.7,5.7,11.6,150.5,78.1,36,274,5.02,4.15,11.8,2,2
16,Len Dawson\DawsLe00,KAN,35,QB,14,12,5-5-2,141,262,53.8,1876,13,5.0,14,5.3,61,7.2,5.7,13.3,134.0,71.0,34,277,5.40,4.15,11.5,1,0
17,Gary Cuozzo\CuozGa00,MIN,29,QB,12,12,10-2-0,128,257,49.8,1720,7,2.7,10,3.9,72,6.7,5.5,13.4,143.3,64.3,23,161,5.57,4.46,8.2,1,1
18,Bart Starr\StarBa00,GNB,36,QB,14,13,6-7-0,140,255,54.9,1645,8,3.1,13,5.1,65,6.5,4.8,11.8,117.5,63.9,29,252,4.90,3.41,10.2,2,2
19,Bob Griese*\GrieBo00,MIA,25,QB,14,14,10-4-0,142,245,58.0,2019,12,4.9,17,6.9,54,8.2,6.1,14.2,144.2,72.1,31,282,6.29,4.39,11.2,0,1
20,Pete Liske\LiskPe00,DEN,28,QB,11,9,5-4-0,112,238,47.1,1340,7,2.9,11,4.6,74,5.6,4.1,12.0,121.8,55.3,28,228,4.18,2.85,10.5,,
21,Billy Kilmer\KilmBi00,NOR,31,QB,13,10,2-8-0,135,237,57.0,1557,6,2.5,17,7.2,46,6.6,3.8,11.5,119.8,55.5,19,155,5.48,2.96,7.4,2,1
22,Joe Kapp\KappJo00,BOS,32,QB,11,10,1-9-0,98,219,44.7,1104,3,1.4,17,7.8,48,5.0,1.8,11.3,100.4,32.6,27,231,3.55,0.68,11.0,,
23,Terry Bradshaw\BradTe00,PIT,22,QB,13,8,3-5-0,83,218,38.1,1410,6,2.8,24,11.0,87,6.5,2.1,17.0,108.5,30.4,25,242,4.81,0.86,10.3,,
24,Craig Morton\MortCr00,DAL,27,QB,12,11,8-3-0,102,207,49.3,1819,15,7.2,7,3.4,89,8.8,8.7,17.8,151.6,89.8,20,166,7.28,7.22,8.8,0,1
25,Al Woodall\WoodAl00,NYJ,25,QB,10,9,3-6-0,96,188,51.1,1265,9,4.8,9,4.8,67,6.7,5.5,13.2,126.5,68.7,29,222,4.81,3.77,13.4,,
26,Joe Namath\NamaJo00,NYJ,27,qb,5,5,1-4-0,90,179,50.3,1259,5,2.8,12,6.7,72,7.0,4.6,14.0,251.8,54.7,6,63,6.46,4.09,3.2,,
27,Edd Hargett\HargEd00,NOR,23,qb,10,4,0-3-1,78,175,44.6,1133,5,2.9,5,2.9,49,6.5,5.8,14.5,113.3,63.8,9,77,5.74,5.06,4.9,0,0
28,Mike Taliaferro\TaliMi00,BOS,29,qb,11,4,1-3-0,78,173,45.1,871,4,2.3,11,6.4,45,5.0,2.6,11.2,79.2,41.8,15,158,3.79,1.59,8.0,,
29,Jerry Rhome\RhomJe00,HOU,28,qb,13,4,0-3-1,88,168,52.4,1031,5,3.0,8,4.8,87,6.1,4.6,11.7,79.3,61.4,10,85,5.31,3.85,5.6,,
30,Terry Hanratty\HanrTe00,PIT,22,qb,13,6,2-4-0,64,163,39.3,842,5,3.1,8,4.9,72,5.2,3.6,13.2,64.8,46.1,3,33,4.87,3.31,1.8,1,1
31,Bill Munson\MunsBi00,DET,29,QB,8,8,5-3-0,84,158,53.2,1049,10,6.3,7,4.4,56,6.6,5.9,12.5,131.1,76.7,10,66,5.85,5.17,6.0,1,1
32,Greg Landry\LandGr00,DET,24,qb,12,6,5-1-0,83,136,61.0,1072,9,6.6,5,3.7,58,7.9,7.6,12.9,89.3,92.5,26,198,5.40,5.12,16.0,0,1
33,Earl Morrall\MorrEa00,BAL,36,qb,14,1,1-0-0,51,93,54.8,792,9,9.7,4,4.3,44,8.5,8.5,15.5,56.6,97.6,14,131,6.18,6.18,13.1,,
34,Roger Staubach\StauRo00,DAL,28,qb,8,3,2-1-0,44,82,53.7,542,2,2.4,8,9.8,43,6.6,2.7,12.3,67.8,42.9,19,130,4.08,0.91,18.8,,
