Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Roman Gabriel*\GabrRo00,PHI,33,QB,14,14,5-8-1,270,460,58.7,3219,23,5.0,12,2.6,80,7.0,6.8,11.9,229.9,86.0,31,219,6.11,5.95,6.3,3,2
2,Jim Plunkett\PlunJi00,NWE,26,QB,14,14,5-9-0,193,376,51.3,2550,13,3.5,17,4.5,64,6.8,5.4,13.2,182.1,65.8,37,350,5.33,4.10,9.0,2,2
3,Charley Johnson\JohnCh02,DEN,35,QB,14,14,7-5-2,184,346,53.2,2465,20,5.8,17,4.9,62,7.1,6.1,13.4,176.1,74.9,26,177,6.15,5.17,7.0,2,2
4,Ken Anderson\AndeKe00,CIN,24,QB,14,14,10-4-0,179,329,54.4,2428,18,5.5,12,3.6,78,7.4,6.8,13.6,173.4,81.2,24,163,6.42,5.91,6.8,0,2
5,Jim Hart\HartJi00,STL,29,QB,12,12,3-8-1,178,320,55.6,2223,15,4.7,10,3.1,69,6.9,6.5,12.5,185.3,80.0,22,168,6.01,5.57,6.4,1,0
6,Mike Phipps\PhipMi00,CLE,26,QB,14,14,7-5-2,148,299,49.5,1719,9,3.0,20,6.7,51,5.7,3.3,11.6,122.8,49.4,44,362,3.96,1.86,12.8,4,2
7,Dan Pastorini\PastDa00,HOU,24,QB,14,10,0-10-0,154,290,53.1,1482,5,1.7,17,5.9,50,5.1,2.8,9.6,105.9,49.0,30,313,3.65,1.58,9.4,,
8,Roger Staubach\StauRo00,DAL,31,QB,14,14,10-4-0,179,286,62.6,2428,23,8.0,15,5.2,53,8.5,7.7,13.6,173.4,94.6,43,269,6.56,5.91,13.1,0,1
9,Fran Tarkenton\TarkFr00,MIN,33,QB,14,14,12-2-0,169,274,61.7,2113,15,5.5,7,2.6,54,7.7,7.7,12.5,150.9,93.2,31,270,6.04,5.99,10.2,,
10,Archie Manning\MannAr00,NOR,24,QB,13,13,5-8-0,140,267,52.4,1642,10,3.7,12,4.5,65,6.1,4.9,11.7,126.3,65.2,28,177,4.97,3.81,9.5,1,1
11,Ken Stabler*\StabKe00,OAK,28,QB,14,11,8-2-1,163,260,62.7,1997,14,5.4,10,3.8,80,7.7,7.0,12.3,142.6,88.3,34,261,5.90,5.33,11.6,1,3
12,John Hadl*+\HadlJo00,RAM,33,QB,14,14,12-2-0,135,258,52.3,2008,22,8.5,11,4.3,69,7.8,7.6,14.9,143.4,88.8,17,126,6.84,6.64,6.2,,
13,Norm Snead\SneaNo00,NYG,34,QB,10,7,1-5-1,131,235,55.7,1483,7,3.0,22,9.4,46,6.3,2.7,11.3,148.3,45.8,9,67,5.80,2.32,3.7,1,1
14,Bob Lee\LeexBo00,ATL,27,QB,12,10,8-2-0,120,230,52.2,1786,10,4.3,8,3.5,57,7.8,7.1,14.9,148.8,77.9,28,256,5.93,5.31,10.9,1,2
15,Billy Kilmer\KilmBi00,WAS,34,QB,10,10,7-3-0,122,227,53.7,1656,14,6.2,9,4.0,64,7.3,6.7,13.6,165.6,81.3,15,88,6.48,5.96,6.2,,
16,Bob Griese*\GrieBo00,MIA,28,QB,13,13,12-1-0,116,218,53.2,1422,17,7.8,8,3.7,46,6.5,6.4,12.3,109.4,84.3,11,75,5.88,5.79,4.8,1,1
17,Al Woodall\WoodAl00,NYJ,28,QB,9,6,1-5-0,101,201,50.2,1228,9,4.5,8,4.0,56,6.1,5.2,12.2,136.4,67.8,19,127,5.00,4.19,8.6,,
18,John Brodie\BrodJo00,SFO,38,QB,14,6,2-4-0,98,194,50.5,1126,3,1.5,12,6.2,66,5.8,3.3,11.5,80.4,47.7,4,29,5.54,3.12,2.0,1,1
19,Dan Fouts\FoutDa00,SDG,22,QB,10,6,0-5-1,87,194,44.8,1126,6,3.1,13,6.7,69,5.8,3.4,12.9,112.6,46.0,14,129,4.79,2.56,6.7,1,0
20,Marty Domres\DomrMa00,BAL,26,QB,11,9,3-6-0,93,191,48.7,1153,9,4.7,13,6.8,66,6.0,3.9,12.4,104.8,55.2,18,145,4.82,2.89,8.6,1,1
21,Bill Munson\MunsBi00,DET,32,qb,10,7,4-3-0,95,187,50.8,1129,9,4.8,8,4.3,54,6.0,5.1,11.9,112.9,67.8,14,94,5.15,4.25,7.0,0,1
22,Terry Bradshaw\BradTe00,PIT,25,QB,10,9,8-1-0,89,180,49.4,1183,10,5.6,15,8.3,67,6.6,3.9,13.3,118.3,54.5,24,186,4.89,2.56,11.8,0,1
23,Randy Johnson\JohnRa00,NYG,29,qb,9,7,1-6-0,99,177,55.9,1279,7,4.0,8,4.5,48,7.2,6.0,12.9,142.1,73.2,19,134,5.84,4.72,9.7,,
