Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Dan Marino*\MariDa00,MIA,31,QB,16,16,11-5-0,330,554,59.6,4116,24,4.3,16,2.9,62,7.4,7.0,12.5,257.3,85.1,28,173,6.77,6.36,4.8,6,6
2,Mark Rypien\RypiMa00,WAS,30,QB,16,16,9-7-0,269,479,56.2,3282,13,2.7,17,3.5,62,6.9,5.8,12.2,205.1,71.7,23,176,6.19,5.18,4.6,1,1
3,Jim Everett\EverJi00,RAM,29,QB,16,16,6-10-0,281,475,59.2,3323,22,4.6,18,3.8,67,7.0,6.2,11.8,207.7,80.2,26,204,6.23,5.49,5.2,3,3
4,Troy Aikman*\AikmTr00,DAL,26,QB,16,16,13-3-0,302,473,63.8,3445,23,4.9,14,3.0,87,7.3,6.9,11.4,215.3,89.5,23,112,6.72,6.38,4.6,1,1
5,Brett Favre*\FavrBr00,GNB,23,QB,15,13,8-5-0,302,471,64.1,3227,18,3.8,13,2.8,76,6.9,6.4,10.7,215.1,85.3,34,208,5.98,5.53,6.7,3,3
6,Jim Kelly*\KellJi00,BUF,32,QB,16,16,11-5-0,269,462,58.2,3457,23,5.0,19,4.1,65,7.5,6.6,12.9,216.1,81.2,20,145,6.87,6.05,4.1,3,3
7,Stan Humphries\HumpSt00,SDG,27,QB,16,15,11-4-0,263,454,57.9,3356,16,3.5,18,4.0,67,7.4,6.3,12.8,209.8,76.4,28,218,6.51,5.49,5.8,2,2
8,Bobby Hebert\HebeBo00,NOR,32,QB,16,16,12-4-0,249,422,59.0,3287,19,4.5,16,3.8,72,7.8,7.0,13.2,205.4,82.9,15,119,7.25,6.47,3.4,2,4
9,Chris Chandler\ChanCh00,PHO,27,QB,15,13,4-9-0,245,413,59.3,2832,15,3.6,15,3.6,72,6.9,5.9,11.6,188.8,77.1,29,226,5.90,5.05,6.6,2,2
10,Dave Krieg\KrieDa00,KAN,34,QB,16,16,10-6-0,230,413,55.7,3115,15,3.6,12,2.9,77,7.5,7.0,13.5,194.7,79.9,48,323,6.06,5.54,10.4,1,1
11,Steve Young*+\YounSt00,SFO,31,QB,16,16,14-2-0,268,402,66.7,3465,25,6.2,7,1.7,80,8.6,9.1,12.9,216.6,107.0,29,152,7.69,8.12,6.7,3,5
12,Browning Nagle\NaglBr00,NYJ,24,QB,14,13,3-10-0,192,387,49.6,2280,7,1.8,17,4.4,51,5.9,4.3,11.9,162.9,55.7,27,215,4.99,3.48,6.5,0,0
13,Randall Cunningham\CunnRa00,PHI,29,QB,15,15,10-5-0,233,384,60.7,2775,19,4.9,11,2.9,75,7.2,6.9,11.9,185.0,87.3,60,437,5.27,5.01,13.5,1,1
14,Jim Harbaugh\HarbJi00,CHI,29,QB,16,13,5-8-0,202,358,56.4,2486,13,3.6,12,3.4,83,6.9,6.2,12.3,155.4,76.2,31,167,5.96,5.24,8.0,1,1
15,Vinny Testaverde\TestVi00,TAM,29,QB,14,14,5-9-0,206,358,57.5,2554,14,3.9,16,4.5,81,7.1,5.9,12.4,182.4,74.2,35,259,5.84,4.72,8.9,1,1
16,Warren Moon*\MoonWa00,HOU,36,QB,11,10,6-4-0,224,346,64.7,2521,18,5.2,12,3.5,72,7.3,6.8,11.3,229.2,89.3,16,105,6.67,6.18,4.4,2,2
17,John Elway\ElwaJo00,DEN,32,QB,12,12,8-4-0,174,316,55.1,2242,10,3.2,17,5.4,80,7.1,5.3,12.9,186.8,65.7,36,272,5.60,3.99,10.2,3,3
18,Neil O'Donnell*\ODonNe00,PIT,26,QB,12,12,9-3-0,185,313,59.1,2283,13,4.2,9,2.9,51,7.3,6.8,12.3,190.3,83.6,27,208,6.10,5.68,7.9,2,3
19,Jeff George\GeorJe00,IND,25,QB,10,10,6-4-0,167,306,54.6,1963,7,2.3,15,4.9,57,6.4,4.7,11.8,196.3,61.5,27,188,5.33,3.72,8.1,1,3
20,Rich Gannon\GannRi00,MIN,27,QB,12,12,8-4-0,159,279,57.0,1905,12,4.3,13,4.7,60,6.8,5.6,12.0,158.8,72.9,25,177,5.68,4.55,8.2,2,2
21,Boomer Esiason\EsiaBo00,CIN,31,QB,12,11,4-7-0,144,278,51.8,1407,11,4.0,15,5.4,38,5.1,3.4,9.8,117.3,57.0,19,150,4.23,2.70,6.4,1,2
22,Stan Gelbaugh\GelbSt00,SEA,30,QB,10,8,0-8-0,121,255,47.5,1307,6,2.4,11,4.3,57,5.1,3.7,10.8,130.7,52.9,34,265,3.61,2.31,11.8,1,1
23,Chris Miller\MillCh00,ATL,27,QB,8,8,3-5-0,152,253,60.1,1739,15,5.9,6,2.4,89,6.9,7.0,11.4,217.4,90.7,16,103,6.08,6.19,5.9,,
24,Jay Schroeder\SchrJa00,RAI,31,QB,13,9,4-5-0,123,253,48.6,1476,11,4.3,11,4.3,53,5.8,4.7,12.0,113.5,63.3,25,180,4.66,3.67,9.0,,
