Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,John Brodie\BrodJo00,SFO,33,QB,14,14,2007-06-01,234,404,57.9,3020,22,5.4,21,5.2,65,7.5,6.2,12.9,215.7,78,,,,,,1,2
2,Roman Gabriel*\GabrRo00,RAM,28,QB,14,14,2010-03-01,184,366,50.3,2364,19,5.2,16,4.4,60,6.5,5.5,12.8,168.9,70,,,,,,2,3
3,Fran Tarkenton*\TarkFr00,NYG,28,QB,14,14,7-7-0,182,337,54,2555,21,6.2,12,3.6,84,7.6,7.2,14,182.5,84.6,,,,,,1,2
4,Bill Munson\MunsBi00,DET,27,QB,12,12,2004-06-02,181,329,55,2311,15,4.6,8,2.4,86,7,6.8,12.8,192.6,82.3,,,,,,1,1
5,Earl Morrall*+\MorrEa00,BAL,34,QB,14,14,13-1-0,182,317,57.4,2909,26,8.2,17,5.4,84,9.2,8.4,16,207.8,93.2,,,,,,,
6,Jim Hart\HartJi00,STL,24,QB,13,12,2008-03-01,140,316,44.3,2059,15,4.7,18,5.7,80,6.5,4.9,14.7,158.4,58.2,,,,,,2,2
7,Billy Kilmer\KilmBi00,NOR,29,QB,12,11,4-7-0,167,315,53,2060,15,4.8,17,5.4,51,6.5,5.1,12.3,171.7,66.9,,,,,,1,1
8,Don Meredith*\MereDo00,DAL,30,QB,13,13,11-2-0,171,309,55.3,2500,21,6.8,12,3.9,65,8.1,7.7,14.6,192.3,88.4,,,,,,1,1
9,Dick Shiner\ShinDi00,PIT,26,QB,13,11,2002-08-01,148,304,48.7,1856,18,5.9,17,5.6,61,6.1,4.8,12.5,142.8,64.5,,,,,,,
10,Bill Nelsen\NelsBi00,CLE,27,QB,14,11,9-2-0,152,293,51.9,2366,19,6.5,10,3.4,87,8.1,7.8,15.6,169,86.4,,,,,,0,1
11,Sonny Jurgensen\JurgSo00,WAS,34,QB,12,12,4-8-0,167,292,57.2,1980,17,5.8,11,3.8,99,6.8,6.3,11.9,165,81.7,,,,,,,
12,Norm Snead\SneaNo00,PHI,29,QB,11,11,2-9-0,152,291,52.2,1655,11,3.8,21,7.2,55,5.7,3.2,10.9,150.5,51.8,,,,,,1,1
13,Joe Kapp\KappJo00,MIN,30,QB,14,14,8-6-0,129,248,52,1695,10,4,17,6.9,61,6.8,4.6,13.1,121.1,58.8,,,,,,0,1
14,Bart Starr\StarBa00,GNB,34,QB,12,9,4-5-0,109,171,63.7,1617,15,8.8,8,4.7,63,9.5,9.1,14.8,134.8,104.3,,,,,,1,0
15,Randy Johnson\JohnRa00,ATL,24,qb,8,7,1-6-0,73,156,46.8,892,2,1.3,10,6.4,71,5.7,3.1,12.2,111.5,42.5,,,,,,,
16,Bob Berry\BerrBo00,ATL,26,QB,10,7,1-6-0,81,153,52.9,1433,7,4.6,13,8.5,66,9.4,6.5,17.7,143.3,65.1,,,,,,1,1
17,Jack Concannon\ConcJa00,CHI,25,QB,7,7,3-4-0,71,143,49.7,715,5,3.5,9,6.3,51,5,2.9,10.1,102.1,49.7,,,,,,,
18,Kent Nix\NixxKe00,PIT,24,qb,8,3,0-3-0,56,130,43.1,720,4,3.1,8,6.2,61,5.5,3.4,12.9,90,45.7,,,,,,1,1
19,Zeke Bratkowski\BratZe00,GNB,37,qb,10,5,2002-02-01,68,126,54,835,3,2.4,7,5.6,72,6.6,4.6,12.3,83.5,59.5,,,,,,,
20,Virgil Carter\CartVi00,CHI,23,qb,7,5,4-1-0,55,122,45.1,769,4,3.3,5,4.1,50,6.3,5.1,14,109.9,59.8,,,,,,1,3
21,Jim Ninowski\NinoJi00,WAS,32,qb,7,2,1-1-0,49,95,51.6,633,4,4.2,6,6.3,56,6.7,4.7,12.9,90.4,60.5,,,,,,,
22,Craig Morton\MortCr00,DAL,25,qb,13,1,1-0-0,44,85,51.8,752,4,4.7,6,7.1,53,8.8,6.6,17.1,57.8,68.4,,,,,,,
23,Karl Sweetan\SweeKa00,NOR,26,qb,5,3,2000-02-01,27,78,34.6,318,1,1.3,9,11.5,42,4.1,-0.9,11.8,63.6,12.6,,,,,,,
24,King Hill\HillKi00,2TM,32,,11,2,0-2-0,33,71,46.5,531,3,4.2,6,8.5,92,7.5,4.5,16.1,48.3,50.9,,,,,,,
25,Charley Johnson\JohnCh02,STL,30,,7,2,1-1-0,29,67,43.3,330,1,1.5,1,1.5,30,4.9,4.6,11.4,47.1,57.4,,,,,,2,2
26,Larry Rakestraw\RakeLa00,CHI,26,qb,7,2,0-2-0,30,67,44.8,361,1,1.5,7,10.4,80,5.4,1,12,51.6,27.2,,,,,,,
27,Frank Ryan\RyanFr00,CLE,32,qb,7,3,1-2-0,31,66,47,639,7,10.6,6,9.1,57,9.7,7.7,20.6,91.3,79,,,,,,0,1
28,Greg Landry\LandGr00,DET,22,qb,4,2,0-2-0,23,48,47.9,338,2,4.2,7,14.6,80,7,1.3,14.7,84.5,45.7,,,,,,,
29,Ronnie Lee South\SoutRo00,NOR,23,qb,4,,,14,38,36.8,129,1,2.6,3,7.9,19,3.4,0.4,9.2,32.3,22.8,,,,,,,
30,Gary Cuozzo\CuozGa00,MIN,27,,4,,,24,33,72.7,297,1,3,0,0,31,9,9.6,12.4,74.3,110.3,,,,,,,
31,Johnny Unitas\UnitJo00,BAL,35,,5,,,11,32,34.4,139,2,6.3,4,12.5,37,4.3,0,12.6,27.8,30.1,,,,,,0,1
32,Gary Wood\WoodGa00,NYG,26,,14,,,9,24,37.5,123,0,0,5,20.8,43,5.1,-4.3,13.7,8.8,15.1,,,,,,,
33,Harry Theofiledes\TheoHa00,WAS,24,,5,,,11,20,55,211,2,10,1,5,39,10.6,10.3,19.2,42.2,104.4,,,,,,1,1
34,Dick Hoak*\HoakDi00,PIT,29,HB,14,13,,7,16,43.8,188,0,0,1,6.3,62,11.8,8.9,26.9,13.4,61.5,,,,,,,
35,Don Horn\HornDo00,GNB,23,,1,,,10,16,62.5,187,2,12.5,0,0,67,11.7,14.2,18.7,187,142.4,,,,,,,
36,John Huarte\HuarJo00,PHI,25,qb,2,1,0-1-0,7,15,46.7,110,1,6.7,2,13.3,48,7.3,2.7,15.7,55,54.2,,,,,,,
37,Bruce Lemmerman\LemmBr00,ATL,23,,4,,,3,15,20,40,0,0,1,6.7,18,2.7,-0.3,13.3,10,11.8,,,,,,,
38,Milt Plum\PlumMi00,RAM,33,,4,,,5,12,41.7,49,1,8.3,1,8.3,25,4.1,2,9.8,12.3,46.9,,,,,,,
39,George Mira\MiraGe00,SFO,26,,13,,,4,11,36.4,44,1,9.1,1,9.1,43,4,1.7,11,3.4,41.5,,,,,,,
40,Jim Ward\WardJi00,BAL,24,,5,,,3,9,33.3,46,0,0,1,11.1,22,5.1,0.1,15.3,9.2,11.6,,,,,,,
41,Rudy Bukich\BukiRu00,CHI,38,,2,,,2,7,28.6,23,0,0,0,0,13,3.3,3.3,11.5,11.5,40.8,,,,,,,
42,Tom Barrington\BarrTo00,NOR,24,,14,2,,2,6,33.3,42,0,0,0,0,23,7,7,21,3,59,,,,,,,
43,Leroy Kelly*+\KellLe00,CLE,26,HB,14,14,,1,4,25,34,1,25,0,0,34,8.5,13.5,34,2.4,102.1,,,,,,,
44,Dan Reeves\ReevDa00,DAL,24,rb,4,4,,2,4,50,43,0,0,0,0,24,10.8,10.8,21.5,10.8,88.5,,,,,,,
45,Donny Anderson*\AndeDo00,GNB,25,HB/P,14,13,,1,3,33.3,12,1,33.3,0,0,12,4,10.7,12,0.9,86.1,,,,,,,
46,Ernie Koy\KoyxEr00,NYG,26,HB/P,13,8,,2,3,66.7,13,0,0,0,0,11,4.3,4.3,6.5,1,75.7,,,,,,,
47,Mike Dennis\DennMi00,RAM,24,,14,,,0,2,0,0,0,0,0,0,0,0,0,,0,39.6,,,,,,,
48,Bobby Duhon\DuhoBo00,NYG,22,FB,13,10,,2,2,100,24,0,0,0,0,19,12,12,12,1.8,116.7,,,,,,,
49,Tommy Mason\MasoTo00,RAM,29,hb,12,8,,0,2,0,0,0,0,0,0,0,0,0,,0,39.6,,,,,,,
50,Clifton McNeil*+\McNeCl00,SFO,28,FL,14,14,,1,2,50,43,1,50,1,50,43,21.5,9,43,3.1,95.8,,,,,,,
51,Gale Sayers+\SayeGa00,CHI,25,HB,9,9,,0,2,0,0,0,0,0,0,0,0,0,,0,39.6,,,,,,,
52,Joe Scarpati\ScarJo21,PHI,25,RS,14,14,,1,2,50,3,0,0,0,0,3,1.5,1.5,3,0.2,56.2,,,,,,,
53,Billy Stevens\StevBi00,GNB,23,,2,,,0,2,0,0,0,0,0,0,0,0,0,,0,39.6,,,,,,,
54,Harmon Wages\WageHa00,ATL,22,,13,6,,1,2,50,21,0,0,0,0,21,10.5,10.5,21,1.6,87.5,,,,,,,
55,Sam Baker*\BakeSa20,PHI,39,K/P,14,,,1,1,100,58,1,100,0,0,58,58,78,58,4.1,158.3,,,,,,,
56,Craig Baynham\BaynCr00,DAL,24,HB/KR,14,8,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,,,,,,,
57,Gary Beban\BebaGa00,WAS,22,,4,,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,,,,,,,
58,Bill Brown*\BrowBi00,MIN,30,FB,14,14,,1,1,100,3,0,0,0,0,3,3,3,3,0.2,79.2,,,,,,,
59,Ronnie Bull\BullRo00,CHI,28,FB,13,8,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,,,,,,,
