Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,John Elway\ElwaJo00,DEN,25,QB,16,16,11-5-0,327,605,54.0,3891,22,3.6,23,3.8,65,6.4,5.4,11.9,243.2,70.2,38,307,5.57,4.65,5.9,6,6
2,Dan Marino*+\MariDa00,MIA,24,QB,16,16,12-4-0,336,567,59.3,4137,30,5.3,21,3.7,73,7.3,6.7,12.3,258.6,84.1,18,157,6.80,6.21,3.1,3,5
3,Dave Krieg\KrieDa00,SEA,27,QB,16,16,8-8-0,285,532,53.6,3602,27,5.1,20,3.8,54,6.8,6.1,12.6,225.1,76.2,52,448,5.40,4.78,8.9,2,2
4,Tommy Kramer\KramTo00,MIN,30,QB,15,15,6-9-0,277,506,54.7,3522,19,3.8,26,5.1,57,7.0,5.4,12.7,234.8,67.8,39,255,5.99,4.54,7.2,2,4
5,Phil Simms*\SimmPh00,NYG,30,QB,16,16,10-6-0,275,495,55.6,3829,22,4.4,20,4.0,70,7.7,6.8,13.9,239.3,78.6,52,396,6.28,5.44,9.5,0,0
6,Joe Montana*\MontJo01,SFO,29,QB,15,15,9-6-0,303,494,61.3,3653,27,5.5,13,2.6,73,7.4,7.3,12.1,243.5,91.3,35,246,6.44,6.36,6.6,1,1
7,Ken O'Brien*\OBriKe00,NYJ,25,QB,16,16,11-5-0,297,488,60.9,3888,25,5.1,8,1.6,96,8.0,8.3,13.1,243.0,96.2,62,399,6.34,6.60,11.3,1,1
8,Ron Jaworski\JawoRo00,PHI,34,QB,16,12,6-6-0,255,484,52.7,3450,17,3.5,20,4.1,99,7.1,6.0,13.5,215.6,70.2,34,289,6.10,5.02,6.6,3,4
9,Neil Lomax\LomaNe00,STL,26,QB,16,16,5-11-0,265,471,56.3,3214,18,3.8,12,2.5,47,6.8,6.4,12.1,200.9,79.5,61,442,5.21,4.87,11.5,1,1
10,Danny White\WhitDa01,DAL,33,QB,14,14,10-4-0,267,450,59.3,3157,21,4.7,17,3.8,56,7.0,6.2,11.8,225.5,80.6,30,257,6.04,5.32,6.3,1,2
