Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Jim Hart*\HartJi00,STL,30,QB,14,14,10-4-0,200,388,51.5,2411,20,5.2,8,2.1,80,6.2,6.3,12.1,172.2,79.5,16,134,5.64,5.74,4.0,1,2
2,Joe Namath\NamaJo00,NYJ,31,QB,14,14,7-7-0,191,361,52.9,2616,20,5.5,22,6.1,89,7.2,5.6,13.7,186.9,69.4,19,195,6.37,4.82,5.0,3,3
3,Roger Staubach\StauRo00,DAL,32,QB,14,14,8-6-0,190,360,52.8,2552,11,3.1,15,4.2,58,7.1,5.8,13.4,182.3,68.4,45,309,5.54,4.41,11.1,2,3
4,Jim Plunkett\PlunJi00,NWE,27,QB,14,14,7-7-0,173,352,49.1,2457,19,5.4,22,6.3,69,7.0,5.2,14.2,175.5,64.1,21,174,6.12,4.49,5.6,1,1
5,Fran Tarkenton*\TarkFr00,MIN,34,QB,13,13,9-4-0,199,351,56.7,2598,17,4.8,12,3.4,80,7.4,6.8,13.1,199.8,82.1,17,142,6.67,6.13,4.6,1,1
6,Roman Gabriel\GabrRo00,PHI,34,QB,11,11,4-7-0,193,338,57.1,1867,9,2.7,12,3.6,64,5.5,4.5,9.7,169.7,66.8,35,259,4.31,3.35,9.4,0,1
7,Ken Anderson\AndeKe00,CIN,25,QB,13,13,7-6-0,213,328,64.9,2667,18,5.5,10,3.0,77,8.1,7.9,12.5,205.2,95.7,36,292,6.52,6.28,9.9,,
8,Ken Stabler*+\StabKe00,OAK,29,QB,14,13,11-2-0,178,310,57.4,2469,26,8.4,12,3.9,67,8.0,7.9,13.9,176.4,94.9,18,141,7.10,7.04,5.5,2,2
9,John Hadl\HadlJo00,2TM,34,,14,11,6-5-0,142,299,47.5,1752,8,2.7,14,4.7,68,5.9,4.3,12.3,125.1,55.5,15,106,5.24,3.75,4.8,,
10,Bill Munson\MunsBi00,DET,33,QB,11,11,6-5-0,166,292,56.8,1874,8,2.7,7,2.4,56,6.4,5.9,11.3,170.4,75.3,24,172,5.39,4.90,7.6,3,3
11,Gary Huff\HuffGa00,CHI,23,QB,13,11,3-8-0,142,283,50.2,1663,6,2.1,17,6.0,73,5.9,3.6,11.7,127.9,50.4,24,260,4.57,2.47,7.8,,
12,Bert Jones\JoneBe00,BAL,23,QB,11,8,1-7-0,143,270,53.0,1610,8,3.0,12,4.4,57,6.0,4.6,11.3,146.4,62.4,36,328,4.19,2.95,11.8,,
13,Archie Manning\MannAr00,NOR,25,QB,11,11,3-8-0,134,261,51.3,1429,6,2.3,16,6.1,79,5.5,3.2,10.7,129.9,49.8,26,172,4.38,2.29,9.1,2,2
14,Mike Phipps\PhipMi00,CLE,27,QB,14,9,2-7-0,117,256,45.7,1384,9,3.5,17,6.6,55,5.4,3.1,11.8,98.9,46.7,33,280,3.82,1.80,11.4,0,1
15,Bob Griese*\GrieBo00,MIA,29,QB,13,13,10-3-0,152,253,60.1,1968,16,6.3,15,5.9,54,7.8,6.4,12.9,151.4,80.9,27,202,6.31,5.04,9.6,2,3
