Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Neil Lomax*\LomaNe00,STL,28,QB,12,12,6-6-0,275,463,59.4,3387,24,5.2,12,2.6,57,7.3,7.2,12.3,282.3,88.5,48,350,5.94,5.83,9.4,2,2
2,Dan Marino*\MariDa00,MIA,26,QB,12,12,7-5-0,263,444,59.2,3245,26,5.9,13,2.9,59,7.3,7.2,12.3,270.4,89.2,9,77,6.99,6.85,2.0,2,2
3,Boomer Esiason\EsiaBo00,CIN,26,QB,12,12,3-9-0,240,440,54.5,3321,16,3.6,19,4.3,61,7.5,6.3,13.8,276.8,73.1,26,209,6.68,5.53,5.6,3,3
4,Jim Kelly*\KellJi00,BUF,27,QB,12,12,6-6-0,250,419,59.7,2798,19,4.5,11,2.6,47,6.7,6.4,11.2,233.2,83.8,27,239,5.74,5.48,6.1,2,2
5,Chuck Long\LongCh00,DET,24,QB,12,12,3-9-0,232,416,55.8,2598,11,2.6,20,4.8,53,6.2,4.6,11.2,216.5,63.4,17,127,5.71,4.14,3.9,0,1
6,John Elway*\ElwaJo00,DEN,27,QB,12,12,8-3-1,224,410,54.6,3198,19,4.6,12,2.9,72,7.8,7.4,14.3,266.5,83.4,20,138,7.12,6.74,4.7,3,2
7,Randall Cunningham\CunnRa00,PHI,24,QB,12,12,7-5-0,223,406,54.9,2786,23,5.7,12,3.0,70,6.9,6.7,12.5,232.2,83.0,54,380,5.23,5.06,11.7,2,3
8,Joe Montana*+\MontJo01,SFO,31,QB,13,11,10-1-0,266,398,66.8,3054,31,7.8,13,3.3,57,7.7,7.8,11.5,234.9,102.1,22,158,6.90,6.98,5.2,3,3
9,Ken O'Brien\OBriKe00,NYJ,27,QB,12,12,5-7-0,234,393,59.5,2696,13,3.3,8,2.0,59,6.9,6.6,11.5,224.7,82.8,50,364,5.26,5.04,11.3,2,1
10,Bernie Kosar*\KosaBe00,CLE,24,QB,12,12,8-4-0,241,389,62.0,3033,22,5.7,9,2.3,54,7.8,7.9,12.6,252.8,95.4,22,129,7.07,7.15,5.4,,
11,Warren Moon\MoonWa00,HOU,31,QB,12,12,7-5-0,184,368,50.0,2806,21,5.7,18,4.9,83,7.6,6.6,15.3,233.8,74.2,25,198,6.64,5.64,6.4,3,3
12,Dan Fouts\FoutDa00,SDG,36,QB,11,10,5-5-0,206,364,56.6,2517,10,2.7,15,4.1,46,6.9,5.6,12.2,228.8,70.0,24,176,6.03,4.81,6.2,2,2
13,Danny White\WhitDa01,DAL,35,QB,11,9,3-6-0,215,362,59.4,2617,12,3.3,17,4.7,43,7.2,5.8,12.2,237.9,73.2,44,353,5.58,4.28,10.8,3,3
14,Mark Malone\MaloMa00,PIT,29,QB,12,12,6-6-0,156,336,46.4,1896,6,1.8,19,5.7,63,5.6,3.5,12.2,158.0,46.7,18,151,4.93,2.85,5.1,3,3
15,Jim Everett\EverJi00,RAM,24,QB,11,11,5-6-0,162,302,53.6,2064,10,3.3,13,4.3,81,6.8,5.6,12.7,187.6,68.4,17,139,6.03,4.83,5.3,0,1
16,Bobby Hebert\HebeBo00,NOR,27,QB,12,12,10-2-0,164,294,55.8,2119,15,5.1,9,3.1,67,7.2,6.9,12.9,176.6,82.9,20,119,6.37,6.04,6.4,3,3
17,Dave Krieg\KrieDa00,SEA,29,QB,12,12,7-5-0,178,294,60.5,2131,23,7.8,15,5.1,75,7.2,6.5,12.0,177.6,87.6,27,247,5.87,5.20,8.4,,
18,Phil Simms\SimmPh00,NYG,32,QB,9,9,4-5-0,163,282,57.8,2230,17,6.0,9,3.2,50,7.9,7.7,13.7,247.8,90.0,35,225,6.32,6.12,11.0,0,1
19,Steve DeBerg\DebeSt00,TAM,33,QB,12,8,2-6-0,159,275,57.8,1891,14,5.1,7,2.5,64,6.9,6.7,11.9,157.6,85.3,20,185,5.78,5.66,6.8,,
20,Bill Kenney\KennBi00,KAN,32,QB,11,8,3-5-0,154,273,56.4,2107,15,5.5,9,3.3,81,7.7,7.3,13.7,191.5,85.8,22,161,6.60,6.24,7.5,0,1
21,Jay Schroeder\SchrJa00,WAS,26,QB,11,10,8-2-0,129,267,48.3,1878,12,4.5,10,3.7,84,7.0,6.2,14.6,170.7,71.0,17,149,6.09,5.35,6.0,2,2
22,Marc Wilson\WilsMa00,RAI,30,QB,15,7,2-5-0,152,266,57.1,2070,12,4.5,8,3.0,47,7.8,7.3,13.6,138.0,84.6,33,238,6.13,5.73,11.0,,
23,Wade Wilson\WilsWa00,MIN,28,QB,12,7,5-2-0,140,264,53.0,2106,14,5.3,13,4.9,73,8.0,6.8,15.0,175.5,76.7,26,194,6.59,5.54,9.0,1,2
24,Scott Campbell\CampSc00,ATL,25,QB,12,9,2-7-0,136,260,52.3,1728,11,4.2,14,5.4,44,6.6,5.1,12.7,144.0,65.0,25,178,5.44,4.00,8.8,1,1
25,Randy Wright\WrigRa00,GNB,26,QB,9,7,1-6-0,132,247,53.4,1507,6,2.4,11,4.5,66,6.1,4.6,11.4,167.4,61.6,20,128,5.16,3.76,7.5,0,1
26,Jack Trudeau\TrudJa00,IND,25,QB,10,8,5-3-0,128,229,55.9,1587,6,2.6,6,2.6,55,6.9,6.3,12.4,158.7,75.4,13,100,6.14,5.52,5.4,,
27,Jim McMahon\McMaJi00,CHI,28,QB,7,6,5-1-0,125,210,59.5,1639,12,5.7,8,3.8,59,7.8,7.2,13.1,234.1,87.4,22,136,6.48,5.96,9.5,3,3
28,Mike Tomczak\TomcMi00,CHI,25,qb,12,6,4-2-0,97,178,54.5,1220,5,2.8,10,5.6,56,6.9,4.9,12.6,101.7,62.0,9,59,6.21,4.34,4.8,1,2
29,Gary Hogeboom\HogeGa00,IND,29,qb,6,6,4-2-0,99,168,58.9,1145,9,5.4,5,3.0,72,6.8,6.5,11.6,190.8,85.0,8,63,6.15,5.89,4.5,,
30,Vinny Testaverde\TestVi00,TAM,24,qb,6,4,0-4-0,71,165,43.0,1081,5,3.0,6,3.6,40,6.6,5.5,15.2,180.2,60.2,18,140,5.14,4.21,9.8,,
31,Steve Grogan\GrogSt00,NWE,34,QB,7,6,4-2-0,93,161,57.8,1183,10,6.2,9,5.6,40,7.3,6.1,12.7,169.0,78.2,7,55,6.71,5.49,4.2,0,1
32,Jeff Rutledge\RutlJe00,NYG,30,qb,13,4,2-2-0,79,155,51.0,1048,5,3.2,11,7.1,50,6.8,4.2,13.3,80.6,53.9,17,129,5.34,3.05,9.9,0,1
33,Doug Williams\WillDo01,WAS,32,qb,5,2,0-2-0,81,143,56.6,1156,11,7.7,5,3.5,62,8.1,8.0,14.3,231.2,94.0,7,53,7.35,7.32,4.7,1,2
34,Tom Ramsey\RamsTo00,NWE,26,qb,9,3,1-2-0,71,134,53.0,898,6,4.5,6,4.5,40,6.7,5.6,12.6,99.8,70.4,14,90,5.46,4.45,9.5,,
35,Don Majkowski\MajkDo00,GNB,23,qb,7,5,2-2-1,55,127,43.3,875,5,3.9,3,2.4,70,6.9,6.6,15.9,125.0,70.2,10,77,5.82,5.57,7.3,1,1
36,Steve Dils\DilsSt00,RAM,32,qb,15,4,1-3-0,56,114,49.1,646,5,4.4,4,3.5,51,5.7,5.0,11.5,43.1,66.6,7,51,4.92,4.26,5.8,,
37,Brent Pease\PeasBr00,HOU,23,qb,7,3,2-1-0,56,113,49.6,728,3,2.7,5,4.4,51,6.4,5.0,13.0,104.0,60.6,5,36,5.86,4.47,4.2,,
38,Kyle Mackey\MackKy00,MIA,25,qb,3,3,1-2-0,57,109,52.3,604,3,2.8,5,4.6,30,5.5,4.0,10.6,201.3,58.8,4,24,5.13,3.67,3.5,,
39,Rusty Hilger\HilgRu00,RAI,25,qb,5,5,2-3-0,55,106,51.9,706,2,1.9,6,5.7,49,6.7,4.5,12.8,141.2,55.8,12,80,5.31,3.36,10.2,,
40,Ken Karcher\KarcKe00,DEN,24,qb,3,3,2-1-0,56,102,54.9,628,5,4.9,4,3.9,49,6.2,5.4,11.2,209.3,73.5,5,45,5.45,4.70,4.7,,
41,Steve Pelluer\PellSt00,DAL,25,qb,12,4,2-2-0,55,101,54.5,642,3,3.0,2,2.0,44,6.4,6.1,11.7,53.5,75.6,5,35,5.73,5.44,4.7,,
42,Todd Hons\HonsTo20,DET,26,qb,3,3,1-2-0,43,92,46.7,552,5,5.4,5,5.4,53,6.0,4.6,12.8,184.0,61.5,9,67,4.80,3.56,8.9,1,1
43,Erik Kramer\KramEr00,ATL,23,qb,3,2,1-1-0,45,92,48.9,559,4,4.3,5,5.4,33,6.1,4.5,12.4,186.3,60.0,10,82,4.68,3.25,9.8,1,1
44,Chris Miller\MillCh00,ATL,22,qb,3,2,0-2-0,39,92,42.4,552,1,1.1,9,9.8,57,6.0,1.8,14.2,184.0,26.4,5,37,5.31,1.34,5.2,,
45,Tony Adams\AdamTo00,MIN,37,qb,3,3,0-3-0,49,89,55.1,607,3,3.4,5,5.6,63,6.8,5.0,12.4,202.3,64.2,18,120,4.55,3.01,16.8,,
46,John Fourcade\FourJo00,NOR,27,qb,3,3,2-1-0,48,89,53.9,597,4,4.5,3,3.4,82,6.7,6.1,12.4,199.0,75.9,6,67,5.58,5.00,6.3,1,1
47,Scott Tinsley\TinsSc20,PHI,28,qb,3,3,0-3-0,48,86,55.8,637,3,3.5,4,4.7,62,7.4,6.0,13.3,212.3,71.7,6,55,6.33,5.02,6.5,,
48,Vince Evans\EvanVi00,RAI,32,qb,3,3,1-2-0,39,83,47.0,630,5,6.0,4,4.8,47,7.6,6.6,16.2,210.0,72.9,7,38,6.58,5.69,7.8,,
49,Tommy Kramer\KramTo00,MIN,32,qb,6,5,3-2-0,40,81,49.4,452,4,4.9,3,3.7,40,5.6,4.9,11.3,75.3,67.5,7,35,4.74,4.11,8.0,,
50,Tony Eason\EasoTo00,NWE,28,qb,4,3,1-2-0,42,79,53.2,453,3,3.8,2,2.5,45,5.7,5.4,10.8,113.3,72.4,8,70,4.40,4.06,9.2,,
51,Bruce Mathison\MathBr00,SEA,28,qb,3,2,1-1-0,36,76,47.4,501,3,3.9,5,6.6,47,6.6,4.4,13.9,167.0,54.8,6,49,5.51,3.50,7.3,1,1
52,Steve Bono\BonoSt00,PIT,25,qb,3,3,2-1-0,34,74,45.9,438,5,6.8,2,2.7,57,5.9,6.1,12.9,146.0,76.3,6,30,5.10,5.23,7.5,0,1
53,Alan Risher\RishAl20,GNB,26,qb,3,3,2-1-0,44,74,59.5,564,3,4.1,3,4.1,46,7.6,6.6,12.8,188.0,80.0,12,77,5.66,4.79,14.0,0,1
54,Steve Young\YounSt00,SFO,26,qb,8,3,2-1-0,37,69,53.6,570,10,14.5,0,0.0,50,8.3,11.2,15.4,71.3,120.8,3,25,7.57,10.35,4.2,,
55,David Norrie\NorrDa20,NYJ,24,qb,2,2,0-2-0,35,68,51.5,376,1,1.5,4,5.9,41,5.5,3.2,10.7,188.0,48.4,15,72,3.66,1.73,18.1,,
56,Rick Neuheisel\NeuhRi20,SDG,26,qb,3,2,2-0-0,40,59,67.8,367,1,1.7,1,1.7,32,6.2,5.8,9.2,122.3,83.1,10,89,4.03,3.67,14.5,0,1
57,Jeff Christensen\ChriJe20,CLE,27,qb,3,2,1-1-0,24,58,41.4,297,1,1.7,3,5.2,34,5.1,3.1,12.4,99.0,42.1,5,37,4.13,2.30,7.9,1,1
58,Mark Herrmann\HerrMa00,SDG,28,qb,3,2,0-2-0,37,57,64.9,405,1,1.8,5,8.8,34,7.1,3.5,10.9,135.0,55.1,3,37,6.13,2.72,5.0,,
59,Matt Stevens\StevMa21,KAN,23,qb,3,2,0-2-0,32,57,56.1,315,1,1.8,1,1.8,23,5.5,5.1,9.8,105.0,70.4,6,53,4.16,3.76,9.5,,
60,Frank Seurer\SeurFr00,KAN,25,qb,8,2,0-2-0,26,55,47.3,340,0,0.0,4,7.3,33,6.2,2.9,13.1,42.5,36.9,10,82,3.97,1.20,15.4,,
61,Pat Ryan\RyanPa00,NYJ,32,qb,13,1,1-0-0,32,53,60.4,314,4,7.5,2,3.8,35,5.9,5.7,9.8,24.2,86.5,1,7,5.69,5.50,1.9,0,1
62,Mike Hohensee\HoheMi20,CHI,26,qb,2,2,2-0-0,28,52,53.8,343,4,7.7,1,1.9,28,6.6,7.3,12.3,171.5,92.1,3,19,5.89,6.53,5.5,,
63,Ed Rubbert\RubbEd20,WAS,23,qb,3,3,3-0-0,26,49,53.1,532,4,8.2,1,2.0,88,10.9,11.6,20.5,177.3,110.2,1,9,10.46,11.16,2.0,,
64,Mike Busch\BuscMi20,NYG,25,qb,2,1,0-1-0,17,47,36.2,278,3,6.4,2,4.3,63,5.9,5.3,16.4,139.0,60.4,7,72,3.81,3.26,13.0,,
65,Shawn Halloran\HallSh20,STL,23,qb,3,2,1-1-0,18,42,42.9,263,0,0.0,1,2.4,49,6.3,5.2,14.6,87.7,54.0,5,34,4.87,3.91,10.6,,
66,Bob Bleier\BleiBo20,NWE,23,qb,3,2,1-1-0,14,39,35.9,181,1,2.6,1,2.6,35,4.6,4.0,12.9,60.3,49.2,3,28,3.64,3.05,7.1,,
67,Brian McClure\McClBr20,BUF,24,qb,1,1,1-0-0,20,38,52.6,181,0,0.0,3,7.9,30,4.8,1.2,9.1,181.0,32.9,2,17,4.10,0.73,5.0,1,1
68,Jim Zorn\ZornJi00,TAM,34,qb,1,1,1-0-0,20,36,55.6,199,0,0.0,2,5.6,26,5.5,3.0,10.0,199.0,48.3,1,6,5.22,2.78,2.7,,
69,Jeff Van Raaphorst\VanRJe20,ATL,24,qb,2,1,0-1-0,18,34,52.9,174,1,2.9,2,5.9,24,5.1,3.1,9.7,87.0,52.8,3,19,4.19,2.30,8.1,,
70,Gary Danielson\DaniGa00,CLE,36,qb,6,1,1-0-0,25,33,75.8,281,4,12.1,0,0.0,23,8.5,10.9,11.2,46.8,140.3,2,4,7.91,10.20,5.7,,
71,Jeff Kemp\KempJe00,SEA,28,qb,13,1,1-0-0,23,33,69.7,396,5,15.2,1,3.0,55,12.0,13.7,17.2,30.5,137.1,3,20,10.44,11.97,8.3,,
72,Blair Kiel\KielBl00,IND,26,qb,4,1,0-1-0,17,33,51.5,195,1,3.0,3,9.1,21,5.9,2.4,11.5,48.8,41.9,0,0,5.91,2.42,0.0,,
73,Willie Totten\TottWi20,BUF,25,qb,2,1,0-1-0,13,33,39.4,155,2,6.1,2,6.1,37,4.7,3.2,11.9,77.5,49.4,5,62,2.45,1.13,13.2,,
74,Todd Blackledge\BlacTo00,KAN,26,qb,3,2,1-1-0,15,31,48.4,154,1,3.2,1,3.2,19,5.0,4.2,10.3,51.3,60.4,7,43,2.92,2.26,18.4,0,0
75,Bob Gagliano\GaglBo00,SFO,29,qb,3,1,1-0-0,16,29,55.2,229,1,3.4,1,3.4,50,7.9,7.0,14.3,76.3,78.1,4,22,6.27,5.52,12.1,,
