Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
31,Matt Robinson\RobiMa01,DEN,25,qb,14,7,4-3-0,78,162,48.1,942,2,1.2,12,7.4,52,5.8,2.7,12.1,67.3,39.7,17,136,4.50,1.71,9.5,,
32,Dan Pastorini\PastDa00,OAK,31,qb,5,5,2-3-0,66,130,50.8,932,5,3.8,8,6.2,56,7.2,5.2,14.1,186.4,61.4,10,103,5.92,4.06,7.1,,
33,Mike Phipps\PhipMi00,CHI,33,qb,7,6,2-4-0,61,122,50.0,630,2,1.6,9,7.4,56,5.2,2.2,10.3,90.0,40.0,7,69,4.35,1.52,5.4,,
34,Scott Brunner\BrunSc00,NYG,23,qb,16,3,1-2-0,52,112,46.4,610,4,3.6,6,5.4,50,5.4,3.8,11.7,38.1,53.1,10,76,4.38,2.82,8.2,1,1
35,Matt Cavanaugh\CavaMa00,NWE,24,qb,16,4,3-1-0,63,105,60.0,885,9,8.6,5,4.8,40,8.4,8.0,14.0,55.3,95.9,8,62,7.28,6.88,7.1,1,1
36,Bob Griese\GrieBo00,MIA,35,qb,5,3,1-2-0,61,100,61.0,790,6,6.0,4,4.0,54,7.9,7.3,13.0,158.0,89.2,9,89,6.43,5.88,8.3,2,2
37,Bill Kenney\KennBi00,KAN,25,qb,3,3,2-1-0,37,69,53.6,542,5,7.2,2,2.9,75,7.9,8.0,14.6,180.7,91.6,5,43,6.74,6.88,6.8,0,1
38,Don Strock\StroDo00,MIA,30,qb,16,2,1-1-0,30,62,48.4,313,1,1.6,5,8.1,33,5.0,1.7,10.4,19.6,35.2,5,49,3.94,0.88,7.5,1,1
39,Cliff Stoudt\StouCl00,PIT,25,qb,6,1,0-1-0,32,60,53.3,493,2,3.3,2,3.3,72,8.2,7.4,15.4,82.2,78.0,4,19,7.41,6.63,6.3,,
40,Steve Dils\DilsSt00,MIN,25,qb,16,1,1-0-0,32,51,62.7,352,3,5.9,0,0.0,58,6.9,8.1,11.0,22.0,102.7,4,32,5.82,6.91,7.3,,
41,Greg Landry\LandGr00,BAL,34,qb,16,1,1-0-0,24,47,51.1,275,2,4.3,3,6.4,32,5.9,3.8,11.5,17.2,56.6,2,19,5.22,3.29,4.1,,
42,Pat Haden\HadePa00,RAM,27,qb,4,1,0-1-0,19,41,46.3,185,0,0.0,4,9.8,24,4.5,0.1,9.7,46.3,19.9,4,30,3.44,-0.56,8.9,,
43,Bobby Scott\ScotBo00,NOR,31,,5,0,,16,33,48.5,200,2,6.1,1,3.0,40,6.1,5.9,12.5,40.0,75.3,4,41,4.30,4.16,10.8,,
44,Mike Kruczek\KrucMi00,WAS,27,qb,7,1,0-1-0,22,31,71.0,209,0,0.0,2,6.5,41,6.7,3.8,9.5,29.9,62.4,5,51,4.39,1.89,13.9,,
45,Mike Loyd\LoydMi00,STL,24,qb,5,1,0-1-0,5,28,17.9,49,0,0.0,1,3.6,20,1.8,0.1,9.8,9.8,24.7,7,48,0.03,-1.26,20.0,,
46,Sam Adkins\AdkiSa00,SEA,25,,4,0,,10,23,43.5,136,1,4.3,3,13.0,22,5.9,0.9,13.6,34.0,37.9,6,51,2.93,-1.03,20.7,,
47,Joe Pisarcik\PisaJo00,PHI,28,,9,0,,15,22,68.2,187,0,0.0,0,0.0,46,8.5,8.5,12.5,20.8,94.3,5,34,5.67,5.67,18.5,0,1
48,Guy Benjamin\BenjGu00,NOR,25,,2,0,,7,17,41.2,28,0,0.0,1,5.9,17,1.6,-1.0,4.0,14.0,24.4,0,0,1.65,-1.00,0.0,,
49,Rusty Lisch\LiscRu00,STL,24,,2,0,,6,17,35.3,68,0,0.0,3,17.6,23,4.0,-3.9,11.3,34.0,8.6,3,36,1.60,-5.15,15.0,,
50,David Whitehurst\WhitDa02,GNB,25,,2,0,,5,15,33.3,55,0,0.0,1,6.7,24,3.7,0.7,11.0,27.5,17.4,3,19,2.00,-0.50,16.7,,
51,David Humm\HummDa00,BUF,28,,16,0,,4,14,28.6,39,0,0.0,1,7.1,19,2.8,-0.4,9.8,2.4,9.8,2,9,1.88,-0.94,12.5,,
52,Glenn Carano\CaraGl00,DAL,25,,3,0,,5,12,41.7,69,2,16.7,0,0.0,25,5.8,9.1,13.8,23.0,100.3,1,0,5.31,8.38,7.7,,
53,Tom Clements\ClemTo20,KAN,27,,1,0,,7,12,58.3,77,0,0.0,0,0.0,18,6.4,6.4,11.0,77.0,77.4,3,30,3.13,3.13,20.0,,
54,Bill Troup\TrouBi00,GNB,29,,2,0,,4,12,33.3,48,0,0.0,3,25.0,24,4.0,-7.3,12.0,24.0,6.9,2,20,2.00,-7.64,14.3,,
55,Dan Manucci\ManuDa20,BUF,23,,2,0,,5,6,83.3,64,0,0.0,0,0.0,22,10.7,10.7,12.8,32.0,111.1,5,48,1.45,1.45,45.5,,
56,Steve Pisarkiewicz\PisaSt00,GNB,27,,1,0,,2,5,40.0,19,0,0.0,0,0.0,16,3.8,3.8,9.5,19.0,51.2,1,7,2.00,2.00,16.7,,
57,Marc Wilson\WilsMa00,OAK,23,,2,0,,3,5,60.0,31,0,0.0,0,0.0,12,6.2,6.2,10.3,15.5,77.9,0,0,6.20,6.20,0.0,,
58,Jerry Eckwood\EckwJe00,TAM,26,RB,15,8,,0,4,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
59,Chuck Fusina\FusiCh00,TAM,23,,2,0,,2,4,50.0,18,0,0.0,1,25.0,13,4.5,-6.8,9.0,9.0,22.9,1,0,3.60,-5.40,20.0,,
60,Jeff Knapple\KnapJe20,DEN,24,,2,0,,1,4,25.0,15,0,0.0,0,0.0,15,3.8,3.8,15.0,7.5,42.7,0,0,3.75,3.75,0.0,,
61,Jeff Komlo\KomlJe00,DET,24,,4,0,,2,4,50.0,26,0,0.0,1,25.0,20,6.5,-4.8,13.0,6.5,31.2,0,0,6.50,-4.75,0.0,,
62,Gifford Nielsen\NielGi00,HOU,26,,16,0,,2,4,50.0,12,1,25.0,0,0.0,8,3.0,8.0,6.0,0.8,95.8,0,0,3.00,8.00,0.0,,
63,Jeff Rutledge\RutlJe00,RAM,23,,1,0,,1,4,25.0,26,0,0.0,0,0.0,26,6.5,6.5,26.0,26.0,54.2,1,8,3.60,3.60,20.0,,
64,Louie Giammona\GiamLo00,PHI,27,rb,16,4,,3,3,100.0,55,1,33.3,0,0.0,27,18.3,25.0,18.3,3.4,158.3,0,0,18.33,25.00,0.0,,
65,Jack Holmes\HolmJa00,NOR,27,fb,16,7,,1,3,33.3,23,1,33.3,0,0.0,23,7.7,14.3,23.0,1.4,101.4,0,0,7.67,14.33,0.0,,
66,Ed Luther\LuthEd00,SDG,23,,5,0,,2,3,66.7,26,0,0.0,1,33.3,13,8.7,-6.3,13.0,5.2,54.2,0,0,8.67,-6.33,0.0,,
67,Mike Moroski\MoroMi00,ATL,23,,3,0,,2,3,66.7,24,0,0.0,0,0.0,18,8.0,8.0,12.0,8.0,91.0,0,0,8.00,8.00,0.0,,
68,Walter Payton*+\PaytWa00,CHI,26,RB,16,16,,0,3,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
69,Earl Campbell*+\CampEa00,HOU,25,RB,15,15,,1,2,50.0,57,1,50.0,0,0.0,57,28.5,38.5,57.0,3.8,135.4,0,0,28.50,38.50,0.0,,
