Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Don Majkowski*\MajkDo00,GNB,25,QB,16,16,10-6-0,353,599,58.9,4318,27,4.5,20,3.3,79,7.2,6.6,12.2,269.9,82.3,47,268,6.27,5.71,7.3,5,7
2,Dan Marino\MariDa00,MIA,28,QB,16,16,8-8-0,308,550,56.0,3997,24,4.4,22,4.0,78,7.3,6.3,13.0,249.8,76.9,10,86,6.98,6.07,1.8,2,4
3,Randall Cunningham*\CunnRa00,PHI,26,QB,16,16,11-5-0,290,532,54.5,3400,21,3.9,15,2.8,66,6.4,5.9,11.7,212.5,75.5,45,343,5.30,4.86,7.8,4,5
4,Chris Miller\MillCh00,ATL,24,QB,15,15,3-12-0,280,526,53.2,3459,16,3.0,10,1.9,72,6.6,6.3,12.4,230.6,76.1,41,318,5.54,5.31,7.2,3,3
5,Jim Everett\EverJi00,RAM,26,QB,16,16,11-5-0,304,518,58.7,4310,29,5.6,17,3.3,78,8.3,8.0,14.2,269.4,90.6,29,214,7.49,7.15,5.3,4,4
6,Bernie Kosar\KosaBe00,CLE,26,QB,16,16,9-6-1,303,513,59.1,3533,18,3.5,14,2.7,97,6.9,6.4,11.7,220.8,80.3,34,192,6.11,5.61,6.2,2,3
7,Dave Krieg*\KrieDa00,SEA,31,QB,15,14,7-7-0,286,499,57.3,3309,21,4.2,20,4.0,60,6.6,5.7,11.6,220.6,74.8,37,289,5.63,4.74,6.9,3,4
8,Vinny Testaverde\TestVi00,TAM,26,QB,14,14,5-9-0,258,480,53.8,3133,20,4.2,22,4.6,78,6.5,5.3,12.1,223.8,68.9,38,294,5.48,4.34,7.3,2,2
9,Ken O'Brien\OBriKe00,NYJ,29,QB,15,12,4-8-0,288,477,60.4,3346,12,2.5,18,3.8,57,7.0,5.8,11.6,223.1,74.3,50,391,5.61,4.53,9.5,2,2
10,Mark Rypien*\RypiMa00,WAS,27,QB,14,14,9-5-0,280,476,58.8,3768,22,4.6,13,2.7,80,7.9,7.6,13.5,269.1,88.1,16,108,7.44,7.14,3.3,3,3
11,Warren Moon*\MoonWa00,HOU,33,QB,16,16,9-7-0,280,464,60.3,3631,23,5.0,14,3.0,55,7.8,7.5,13.0,226.9,88.9,35,267,6.74,6.40,7.0,2,3
12,Boomer Esiason*\EsiaBo00,CIN,28,QB,16,15,7-8-0,258,455,56.7,3525,28,6.2,11,2.4,74,7.7,7.9,13.7,220.3,92.1,36,288,6.59,6.73,7.3,0,1
13,John Elway*\ElwaJo00,DEN,29,QB,15,15,10-5-0,223,416,53.6,3051,18,4.3,18,4.3,69,7.3,6.3,13.7,203.4,73.7,35,298,6.10,5.11,7.8,2,2
14,Phil Simms\SimmPh00,NYG,34,QB,15,15,11-4-0,228,405,56.3,3061,14,3.5,14,3.5,62,7.6,6.7,13.4,204.1,77.6,40,244,6.33,5.54,9.0,2,2
15,Jim Kelly\KellJi00,BUF,29,QB,13,13,6-7-0,228,391,58.3,3130,25,6.4,18,4.6,78,8.0,7.2,13.7,240.8,86.2,30,216,6.92,6.19,7.1,2,2
16,Joe Montana*+\MontJo01,SFO,33,QB,13,13,11-2-0,271,386,70.2,3521,26,6.7,8,2.1,95,9.1,9.5,13.0,270.8,112.4,33,198,7.93,8.31,7.9,4,5
17,Gary Hogeboom\HogeGa00,PHO,31,QB,14,13,5-8-0,204,364,56.0,2591,14,3.8,19,5.2,59,7.1,5.5,12.7,185.1,69.5,40,266,5.75,4.33,9.9,1,1
18,Jack Trudeau\TrudJa00,IND,27,QB,13,12,7-5-0,190,362,52.5,2317,15,4.1,13,3.6,71,6.4,5.6,12.2,178.2,71.3,20,125,5.74,4.99,5.2,4,3
19,Wade Wilson\WilsWa00,MIN,30,QB,14,12,7-5-0,194,362,53.6,2543,9,2.5,12,3.3,50,7.0,6.0,13.1,181.6,70.5,27,194,6.04,5.11,6.9,1,0
20,Bobby Hebert\HebeBo00,NOR,29,QB,14,13,6-7-0,222,353,62.9,2686,15,4.2,15,4.2,54,7.6,6.5,12.1,191.9,82.7,22,171,6.71,5.71,5.9,1,2
21,Bubby Brister\BrisBu00,PIT,27,QB,14,14,8-6-0,187,342,54.7,2365,9,2.6,10,2.9,79,6.9,6.1,12.6,168.9,73.1,45,452,4.94,4.25,11.6,1,1
22,Steve DeBerg\DebeSt00,KAN,35,QB,12,10,6-4-0,196,324,60.5,2529,11,3.4,16,4.9,50,7.8,6.3,12.9,210.8,75.8,14,111,7.15,5.67,4.1,2,2
23,Jim McMahon\McMaJi00,SDG,30,QB,12,11,4-7-0,176,318,55.3,2132,10,3.1,10,3.1,69,6.7,5.9,12.1,177.7,73.5,28,167,5.68,4.96,8.1,2,3
24,Mike Tomczak\TomcMi00,CHI,27,QB,16,11,5-6-0,156,306,51.0,2058,16,5.2,16,5.2,79,6.7,5.4,13.2,128.6,68.2,10,68,6.30,5.03,3.2,1,1
25,Troy Aikman\AikmTr00,DAL,23,QB,11,11,0-11-0,155,293,52.9,1749,9,3.1,18,6.1,75,6.0,3.8,11.3,159.0,55.7,19,155,5.11,3.09,6.1,,
26,Steve Grogan\GrogSt00,NWE,36,QB,7,6,2-4-0,133,261,51.0,1697,9,3.4,14,5.4,55,6.5,4.8,12.8,242.4,60.8,8,64,6.07,4.40,3.0,1,1
27,Bob Gagliano\GaglBo00,DET,31,qb,11,7,4-3-0,117,232,50.4,1671,6,2.6,12,5.2,75,7.2,5.4,14.3,151.9,61.2,25,153,5.91,4.27,9.7,,
28,Steve Walsh\WalsSt00,DAL,23,qb,8,5,1-4-0,110,219,50.2,1371,5,2.3,9,4.1,46,6.3,4.9,12.5,171.4,60.5,11,84,5.60,4.27,4.8,,
29,Steve Beuerlein\BeueSt00,RAI,24,qb,10,7,4-3-0,108,217,49.8,1677,13,6.0,9,4.1,67,7.7,7.1,15.5,167.7,78.4,22,175,6.28,5.68,9.2,2,3
30,Rodney Peete\PeetRo00,DET,23,QB,8,8,3-5-0,103,195,52.8,1479,5,2.6,9,4.6,69,7.6,6.0,14.4,184.9,67.0,27,164,5.92,4.55,12.2,1,1
